text,replies,retweets,likes,views,author_name,author_handle,publication_time
Biotech company Modern delivers the first Coronavirus vaccine for human testing.,9,110,175,0,CNBC's Fast Money,@CNBCFastMoney,2020-02-24T22:16:56.000Z
"Today, we released our 2020 State of Remote Work with  
@AngelList
. We had over 3,500 remote worker participants in the questions.

The question the most people said yes to was around working remotely for the rest of their careers, it had some incredible results:",8,123,346,0,Joel Gascoigne,@joelgascoigne,2020-02-24T22:16:56.000Z
"The virus outbreak in  may be inadvertently accelerating a long term trend by forcing 200 million+ to #work from #home using digital collab tools. Today it’s msg, doc sharing & conferencing. Later, it’ll be remote #virtual offices via #5G Cloud #VR/#XR. https://technode.com/2020/02/04/dingtalk-wechat-work-overburdened-as-hundreds-of-millions-work-remotely/…",19,66,176,0,Alvin Wang Graylin,@AGraylin,2020-02-24T22:16:56.000Z
"Today I had my influenza vaccine, the injectable form, which is an “inactivated"" vaccine. It works by exposing you to a small dose of the virus, which helps your body to develop immunity to the disease. MOH provides influenza vaccination to all our frontline healthcare workers.",11,113,379,0,Noor Hisham Abdullah,@DGHisham,2020-02-21T10:30:08.000Z
ウイルスの影響でリモートワークを導入した企業が増えてきているため、Anywhereでのリモートワークのコミュニケーション周辺の知見をまとめました。急ごしらえなのでお見苦しいところがあるかもしれませんが、参考にしていただければと思います。,,114,403,0,Keita Saito / プロダクトチームキャスティング / 産官学AI&DX&デザイン,@qnoub,2020-02-21T10:30:08.000Z
"Why work remote?

Focus

Choose a schedule that works best for you

Weave work around life

Work where you’re most comfortable and inspired

Take meetings while walking outside

Choose your equipment 

Save commute time and cost

Use the time saved to enjoy restorative free time",6,45,256,0,Cory House,@housecor,2020-02-21T10:30:08.000Z
"Top NIH official Anthony Fauci says coronavirus vaccine will likely take 12 to 18 months:

""That means...the answer to containing is public health measures. We can't rely on a vaccine over the next several months to a year."" https://abcn.ws/382br0Y",33,168,172,0,ABC News,@ABC,2020-02-21T10:30:08.000Z
"新型コロナの感染リスクを避けるためにネット経由で自宅から仕事する

「テレワーク」
「リモート出社」
「在宅勤務」

がニュースで話題となってるけど、つい最近まではVRゴーグル頭に装着させられて擬似自宅で休む「仮想帰宅」「VR帰宅」が最先端のワークライフって紹介してたの、俺は忘れてないぞ。",4,244,503,0,丸山カネキリカ(C105 30日)／ヤマダ(),,2020-02-21T10:30:08.000Z
"COVID-19 VACCINE UPDATE:

The long days in the lab have paid off. 

A #UQ team has met a key milestone in their fast-tracked research to develop a vaccine for the #Coronavirus COVID-19.
@CEPIvaccines
 @ProfPaulYoung
Read more: http://tinyurl.com/vnn78a8",26,349,544,0,UQ News,@UQ_News,2020-02-21T10:30:08.000Z
"Websites that offer you the chance to secure jobs that you can do remotely from wherever you are. 

A few of these websites include:

Flexjobs

SolidGigs

http://Remote.co",11,382,614,0,Hansel Praise,@hannytalker,2020-02-12T18:43:53.000Z
"Oh hey, Pharma is now proposing that vaccines be injected directly into a vein. What could possibly go wrong!? Color me deeply deeply deeply skeptical about this new tactic.",22,131,185,0,Toby Rogers,@uTobian,2020-02-12T18:43:53.000Z
"The vaccine is possibly a year away. A more pressing issue is all the people who don't have health insurance! Plus most lower wage workers, many in food service, can't afford to take sick days, so the virus will spread quickly if it's not aggressively contained.",5,38,134,0,Vicki,@CdnCannaGran,2020-02-12T18:43:53.000Z
"COVID-19 Vaccine Shipped, and Drug Trials Start | Time https://time.com/5790545/first-covid-19-vaccine/…",3,44,225,0,トンピンフィナンシャル　CEO 山田　亨,@Tonpin1234,2020-02-12T18:43:53.000Z
Coronavirus update: NIH might have a vaccine in three months based on SARS research. We are making a bnAb in 8 weeks. Small molecule drugs might already have the solution: two drugs against other pathogens appear to work against this new virus. https://nature.com/articles/s41422-020-0282-0…,20,110,250,0,Dr. Jacob Glanville,@CurlyJungleJake,2020-02-12T18:43:53.000Z
"Due to coronavirus, millions across Asia are participating in what may be the world's biggest work-from-home experiment. For some, it's a nightmare. But it's been so well received in some sectors that employers are considering adopting it more permanently. https://cnn.it/2wlRdlW",43,257,652,0,CNN,@CNN,2020-02-12T18:43:53.000Z
"Due to coronavirus, millions across Asia are participating in what may be the world's biggest work-from-home experiment. For some, it's a nightmare. But it's been so well received in some sectors that employers are considering adopting it more permanently. https://cnn.it/2SRTX2a",20,173,419,0,CNN,@CNN,2020-02-12T18:43:53.000Z
