text,replies,retweets,likes,views,author_name,author_handle,publication_time
新入社員は今日の午前中にワクチン注射なので、調子に乗っていられるのも今のうちです。,8,60,805,0,富菜牧場,@tominafarm,2020-01-24T23:35:46.000Z
"This week’s #MondayMotivation comes from Dole Singh, a health worker in India, who is determined to overcome any obstacle to deliver life-saving vaccines. #VaccinesWork",5,74,312,0,Catherine Russell,@unicefchief,2020-01-24T23:35:46.000Z
"Wala pang bakuna at maaaring maipasa sa pamamagitan ng human-to-human transmission ang coronavirus. Alamin sa video ang ilang detalye tungkol sa novelty virus na ito na nagsimula sa Wuhan, China. http://bit.ly/2v5b348",1,192,211,0,GMA Integrated News,@gmanews,2020-01-24T23:35:46.000Z
"“You cannot get the flu from the vaccine — it’s not scientifically possible,” Dr. Jennifer Ashton says busting a common myth. http://gma.abc/39WS4bT",25,33,184,0,The View,@TheView,2020-01-24T23:35:46.000Z
"GMO、新型肺炎で国内4000人を在宅勤務に 27日から：日本経済新聞 https://nikkei.com/article/DGXMZO54866090W0A120C2TJC000/…

#新型肺炎 #コロナウィルス #新型コロナウィルス #新型コロナウィルス肺炎 #武漢肺炎疫情 #武汉封城 #武汉肺炎 #武汉 #coronavirus #CoronaOutbreak #CoronavirusOutbreak #VirusCorona #Corona",32,915,1.7K,0,熊谷正寿【GMO】,@m_kumagai,2020-01-26T07:58:20.000Z
"Never denied this is not a problem. My job as an actress is to raise awareness of these issues and educate people. That is what our film did. Glad to say that we have already immunised 35m of the 37m target, rest will be done soon as well InshaAllah . Thank you for your concern !",113,213,2.7K,0,Mehwish Hayat TI,@MehwishHayat,2020-01-26T07:58:20.000Z
"GMO、渋谷・大阪・福岡の従業員を在宅勤務に　新型コロナウイルスの感染拡大に備え https://nlab.itmedia.co.jp/nl/articles/2001/26/news031.html… 
@itm_nlab
から",4,607,493,0,ねとらぼ,@itm_nlab,2020-01-26T07:58:20.000Z
"From #WHO closed door meeting on vaccine safety: Dr. Marion Gruber, FDA's Vaccines Research & Review Director admits pharmacological vigilance systems are not in place: “The longer you follow up the more you see adverse events.”
https://youtube.com/watch?v=Er3aX__loWU…",18,320,446,0,The HighWire,@HighWireTalk,2020-01-26T07:58:20.000Z
"すごい決断力に脱帽

GMO、新型肺炎で国内4000人を在宅勤務に　27日から: 日本経済新聞 https://nikkei.com/article/DGXMZO54866090W0A120C2TJC000/…",31,633,3.5K,0,高須克弥,@katsuyatakasu,2020-01-26T07:58:20.000Z
WHO IS LYING TO YOU?  Highlights from “The HighWire”; Jeffery Jaxen reports from #OccupyTrenton in New Jersey; Top World Health Officials' Shocking Admissions About Vaccine Safety.  #MissedInformation #VaccineSafety #WHO #StandWithNJ #TheHighWire,66,345,391,0,The HighWire,@HighWireTalk,2020-01-26T07:58:20.000Z
