date_month,topic_label,count,total,share
2020-01-01,COVID-19 Vaccine Progress,17,159,0.1069182389937107
2020-01-01,Federal Vaccine Mandates,1,159,0.006289308176100629
2020-01-01,Remote Work During COVID,9,159,0.05660377358490566
2020-01-01,Remote Work During Pandemic,39,159,0.24528301886792453
2020-01-01,Remote Work Opportunities,26,159,0.16352201257861634
2020-01-01,Remote Work Post-Pandemic,25,159,0.15723270440251572
2020-01-01,Remote Work Tips,16,159,0.10062893081761007
2020-01-01,Vaccine Mandates & Work,9,159,0.05660377358490566
2020-01-01,Vaccine Rollout Progress,17,159,0.1069182389937107
2020-02-01,COVID-19 Vaccine Progress,32,146,0.2191780821917808
2020-02-01,Federal Vaccine Mandates,1,146,0.00684931506849315
2020-02-01,Remote Work During COVID,28,146,0.1917808219178082
2020-02-01,Remote Work During Pandemic,32,146,0.2191780821917808
2020-02-01,Remote Work Opportunities,7,146,0.04794520547945205
2020-02-01,Remote Work Post-Pandemic,18,146,0.1232876712328767
2020-02-01,Remote Work Tips,12,146,0.0821917808219178
2020-02-01,Vaccine Mandates & Work,4,146,0.0273972602739726
2020-02-01,Vaccine Rollout Progress,12,146,0.0821917808219178
2020-03-01,COVID-19 Vaccine Progress,19,151,0.12582781456953643
2020-03-01,Federal Vaccine Mandates,1,151,0.006622516556291391
2020-03-01,Remote Work During COVID,40,151,0.26490066225165565
2020-03-01,Remote Work During Pandemic,33,151,0.2185430463576159
2020-03-01,Remote Work Opportunities,2,151,0.013245033112582781
2020-03-01,Remote Work Post-Pandemic,18,151,0.11920529801324503
2020-03-01,Remote Work Tips,31,151,0.2052980132450331
2020-03-01,Vaccine Mandates & Work,1,151,0.006622516556291391
2020-03-01,Vaccine Rollout Progress,6,151,0.039735099337748346
2020-04-01,COVID-19 Vaccine Progress,24,114,0.21052631578947367
2020-04-01,Federal Vaccine Mandates,3,114,0.02631578947368421
2020-04-01,Remote Work During COVID,17,114,0.14912280701754385
2020-04-01,Remote Work During Pandemic,14,114,0.12280701754385964
2020-04-01,Remote Work Opportunities,2,114,0.017543859649122806
2020-04-01,Remote Work Post-Pandemic,22,114,0.19298245614035087
2020-04-01,Remote Work Tips,16,114,0.14035087719298245
2020-04-01,Vaccine Mandates & Work,5,114,0.043859649122807015
2020-04-01,Vaccine Rollout Progress,11,114,0.09649122807017543
2020-05-01,COVID-19 Vaccine Progress,6,119,0.05042016806722689
2020-05-01,Remote Work During COVID,16,119,0.13445378151260504
2020-05-01,Remote Work During Pandemic,29,119,0.24369747899159663
2020-05-01,Remote Work Opportunities,8,119,0.06722689075630252
2020-05-01,Remote Work Post-Pandemic,25,119,0.21008403361344538
2020-05-01,Remote Work Tips,26,119,0.2184873949579832
2020-05-01,Vaccine Mandates & Work,3,119,0.025210084033613446
2020-05-01,Vaccine Rollout Progress,6,119,0.05042016806722689
2020-06-01,COVID-19 Vaccine Progress,35,104,0.33653846153846156
2020-06-01,Remote Work During COVID,10,104,0.09615384615384616
2020-06-01,Remote Work During Pandemic,17,104,0.16346153846153846
2020-06-01,Remote Work Post-Pandemic,19,104,0.18269230769230768
2020-06-01,Remote Work Tips,18,104,0.17307692307692307
2020-06-01,Vaccine Mandates & Work,2,104,0.019230769230769232
2020-06-01,Vaccine Rollout Progress,3,104,0.028846153846153848
2020-07-01,COVID-19 Vaccine Progress,42,87,0.4827586206896552
2020-07-01,Federal Vaccine Mandates,1,87,0.011494252873563218
2020-07-01,Remote Work During COVID,5,87,0.05747126436781609
2020-07-01,Remote Work During Pandemic,17,87,0.19540229885057472
2020-07-01,Remote Work Opportunities,1,87,0.011494252873563218
2020-07-01,Remote Work Post-Pandemic,3,87,0.034482758620689655
2020-07-01,Remote Work Tips,4,87,0.04597701149425287
2020-07-01,Vaccine Mandates & Work,3,87,0.034482758620689655
2020-07-01,Vaccine Rollout Progress,11,87,0.12643678160919541
2020-08-01,COVID-19 Vaccine Progress,20,165,0.12121212121212122
2020-08-01,Federal Vaccine Mandates,2,165,0.012121212121212121
2020-08-01,Remote Work During COVID,23,165,0.1393939393939394
2020-08-01,Remote Work During Pandemic,25,165,0.15151515151515152
2020-08-01,Remote Work Opportunities,13,165,0.07878787878787878
2020-08-01,Remote Work Post-Pandemic,34,165,0.20606060606060606
2020-08-01,Remote Work Tips,27,165,0.16363636363636364
2020-08-01,Vaccine Mandates & Work,7,165,0.04242424242424243
2020-08-01,Vaccine Rollout Progress,14,165,0.08484848484848485
2020-09-01,COVID-19 Vaccine Progress,23,174,0.13218390804597702
2020-09-01,Federal Vaccine Mandates,4,174,0.022988505747126436
2020-09-01,Remote Work During COVID,23,174,0.13218390804597702
2020-09-01,Remote Work During Pandemic,14,174,0.08045977011494253
2020-09-01,Remote Work Opportunities,20,174,0.11494252873563218
2020-09-01,Remote Work Post-Pandemic,27,174,0.15517241379310345
2020-09-01,Remote Work Tips,36,174,0.20689655172413793
2020-09-01,Vaccine Mandates & Work,2,174,0.011494252873563218
2020-09-01,Vaccine Rollout Progress,25,174,0.14367816091954022
2020-10-01,COVID-19 Vaccine Progress,21,65,0.3230769230769231
2020-10-01,Federal Vaccine Mandates,5,65,0.07692307692307693
2020-10-01,Remote Work During COVID,1,65,0.015384615384615385
2020-10-01,Remote Work During Pandemic,7,65,0.1076923076923077
2020-10-01,Remote Work Post-Pandemic,4,65,0.06153846153846154
2020-10-01,Vaccine Mandates & Work,6,65,0.09230769230769231
2020-10-01,Vaccine Rollout Progress,21,65,0.3230769230769231
2020-11-01,COVID-19 Vaccine Progress,23,108,0.21296296296296297
2020-11-01,Federal Vaccine Mandates,5,108,0.046296296296296294
2020-11-01,Remote Work During COVID,19,108,0.17592592592592593
2020-11-01,Remote Work During Pandemic,4,108,0.037037037037037035
2020-11-01,Remote Work Opportunities,1,108,0.009259259259259259
2020-11-01,Remote Work Post-Pandemic,11,108,0.10185185185185185
2020-11-01,Remote Work Tips,6,108,0.05555555555555555
2020-11-01,Vaccine Mandates & Work,4,108,0.037037037037037035
2020-11-01,Vaccine Rollout Progress,35,108,0.32407407407407407
2020-12-01,COVID-19 Vaccine Progress,10,47,0.2127659574468085
2020-12-01,Federal Vaccine Mandates,9,47,0.19148936170212766
2020-12-01,Vaccine Mandates & Work,5,47,0.10638297872340426
2020-12-01,Vaccine Rollout Progress,23,47,0.48936170212765956
2021-01-01,COVID-19 Vaccine Progress,8,169,0.047337278106508875
2021-01-01,Federal Vaccine Mandates,15,169,0.08875739644970414
2021-01-01,Remote Work During COVID,31,169,0.1834319526627219
2021-01-01,Remote Work During Pandemic,10,169,0.05917159763313609
2021-01-01,Remote Work Opportunities,4,169,0.023668639053254437
2021-01-01,Remote Work Post-Pandemic,22,169,0.1301775147928994
2021-01-01,Remote Work Tips,16,169,0.09467455621301775
2021-01-01,Vaccine Mandates & Work,23,169,0.13609467455621302
2021-01-01,Vaccine Rollout Progress,40,169,0.23668639053254437
2021-02-01,COVID-19 Vaccine Progress,9,98,0.09183673469387756
2021-02-01,Federal Vaccine Mandates,11,98,0.11224489795918367
2021-02-01,Remote Work During COVID,13,98,0.1326530612244898
2021-02-01,Remote Work During Pandemic,2,98,0.02040816326530612
2021-02-01,Remote Work Opportunities,1,98,0.01020408163265306
2021-02-01,Remote Work Post-Pandemic,7,98,0.07142857142857142
2021-02-01,Remote Work Tips,3,98,0.030612244897959183
2021-02-01,Vaccine Mandates & Work,17,98,0.17346938775510204
2021-02-01,Vaccine Rollout Progress,35,98,0.35714285714285715
2021-03-01,COVID-19 Vaccine Progress,5,86,0.05813953488372093
2021-03-01,Federal Vaccine Mandates,15,86,0.1744186046511628
2021-03-01,Remote Work During COVID,6,86,0.06976744186046512
2021-03-01,Remote Work During Pandemic,1,86,0.011627906976744186
2021-03-01,Remote Work Opportunities,1,86,0.011627906976744186
2021-03-01,Remote Work Post-Pandemic,3,86,0.03488372093023256
2021-03-01,Remote Work Tips,3,86,0.03488372093023256
2021-03-01,Vaccine Mandates & Work,20,86,0.23255813953488372
2021-03-01,Vaccine Rollout Progress,32,86,0.37209302325581395
2021-04-01,Federal Vaccine Mandates,45,147,0.30612244897959184
2021-04-01,Remote Work During COVID,19,147,0.1292517006802721
2021-04-01,Remote Work During Pandemic,5,147,0.034013605442176874
2021-04-01,Remote Work Opportunities,7,147,0.047619047619047616
2021-04-01,Remote Work Post-Pandemic,25,147,0.17006802721088435
2021-04-01,Remote Work Tips,11,147,0.07482993197278912
2021-04-01,Vaccine Mandates & Work,16,147,0.10884353741496598
2021-04-01,Vaccine Rollout Progress,19,147,0.1292517006802721
2021-05-01,COVID-19 Vaccine Progress,2,131,0.015267175572519083
2021-05-01,Federal Vaccine Mandates,33,131,0.25190839694656486
2021-05-01,Remote Work During COVID,12,131,0.0916030534351145
2021-05-01,Remote Work During Pandemic,7,131,0.05343511450381679
2021-05-01,Remote Work Opportunities,5,131,0.03816793893129771
2021-05-01,Remote Work Post-Pandemic,19,131,0.1450381679389313
2021-05-01,Remote Work Tips,18,131,0.13740458015267176
2021-05-01,Vaccine Mandates & Work,18,131,0.13740458015267176
2021-05-01,Vaccine Rollout Progress,17,131,0.1297709923664122
2021-06-01,Federal Vaccine Mandates,8,30,0.26666666666666666
2021-06-01,Remote Work During COVID,3,30,0.1
2021-06-01,Remote Work Opportunities,1,30,0.03333333333333333
2021-06-01,Remote Work Post-Pandemic,2,30,0.06666666666666667
2021-06-01,Remote Work Tips,1,30,0.03333333333333333
2021-06-01,Vaccine Mandates & Work,6,30,0.2
2021-06-01,Vaccine Rollout Progress,9,30,0.3
2021-07-01,COVID-19 Vaccine Progress,1,87,0.011494252873563218
2021-07-01,Federal Vaccine Mandates,37,87,0.42528735632183906
2021-07-01,Remote Work During COVID,9,87,0.10344827586206896
2021-07-01,Remote Work During Pandemic,2,87,0.022988505747126436
2021-07-01,Remote Work Opportunities,3,87,0.034482758620689655
2021-07-01,Remote Work Post-Pandemic,6,87,0.06896551724137931
2021-07-01,Remote Work Tips,9,87,0.10344827586206896
2021-07-01,Vaccine Mandates & Work,12,87,0.13793103448275862
2021-07-01,Vaccine Rollout Progress,8,87,0.09195402298850575
2021-08-01,Federal Vaccine Mandates,40,102,0.39215686274509803
2021-08-01,Remote Work During COVID,15,102,0.14705882352941177
2021-08-01,Remote Work During Pandemic,6,102,0.058823529411764705
2021-08-01,Remote Work Opportunities,3,102,0.029411764705882353
2021-08-01,Remote Work Post-Pandemic,14,102,0.13725490196078433
2021-08-01,Remote Work Tips,7,102,0.06862745098039216
2021-08-01,Vaccine Mandates & Work,13,102,0.12745098039215685
2021-08-01,Vaccine Rollout Progress,4,102,0.0392156862745098
2021-09-01,COVID-19 Vaccine Progress,1,86,0.011627906976744186
2021-09-01,Federal Vaccine Mandates,30,86,0.3488372093023256
2021-09-01,Remote Work During COVID,9,86,0.10465116279069768
2021-09-01,Remote Work During Pandemic,6,86,0.06976744186046512
2021-09-01,Remote Work Opportunities,2,86,0.023255813953488372
2021-09-01,Remote Work Post-Pandemic,15,86,0.1744186046511628
2021-09-01,Remote Work Tips,9,86,0.10465116279069768
2021-09-01,Vaccine Mandates & Work,10,86,0.11627906976744186
2021-09-01,Vaccine Rollout Progress,4,86,0.046511627906976744
2021-10-01,Federal Vaccine Mandates,27,114,0.23684210526315788
2021-10-01,Remote Work During COVID,23,114,0.20175438596491227
2021-10-01,Remote Work During Pandemic,5,114,0.043859649122807015
2021-10-01,Remote Work Opportunities,5,114,0.043859649122807015
2021-10-01,Remote Work Post-Pandemic,16,114,0.14035087719298245
2021-10-01,Remote Work Tips,14,114,0.12280701754385964
2021-10-01,Vaccine Mandates & Work,20,114,0.17543859649122806
2021-10-01,Vaccine Rollout Progress,4,114,0.03508771929824561
2021-11-01,Federal Vaccine Mandates,42,134,0.31343283582089554
2021-11-01,Remote Work During COVID,14,134,0.1044776119402985
2021-11-01,Remote Work During Pandemic,16,134,0.11940298507462686
2021-11-01,Remote Work Opportunities,6,134,0.04477611940298507
2021-11-01,Remote Work Post-Pandemic,22,134,0.16417910447761194
2021-11-01,Remote Work Tips,12,134,0.08955223880597014
2021-11-01,Vaccine Mandates & Work,15,134,0.11194029850746269
2021-11-01,Vaccine Rollout Progress,7,134,0.05223880597014925
2021-12-01,Federal Vaccine Mandates,18,75,0.24
2021-12-01,Remote Work During COVID,8,75,0.10666666666666667
2021-12-01,Remote Work During Pandemic,13,75,0.17333333333333334
2021-12-01,Remote Work Opportunities,1,75,0.013333333333333334
2021-12-01,Remote Work Post-Pandemic,2,75,0.02666666666666667
2021-12-01,Remote Work Tips,2,75,0.02666666666666667
2021-12-01,Vaccine Mandates & Work,24,75,0.32
2021-12-01,Vaccine Rollout Progress,7,75,0.09333333333333334
2022-01-01,Federal Vaccine Mandates,21,75,0.28
2022-01-01,Remote Work During COVID,16,75,0.21333333333333335
2022-01-01,Remote Work During Pandemic,5,75,0.06666666666666667
2022-01-01,Remote Work Opportunities,3,75,0.04
2022-01-01,Remote Work Post-Pandemic,5,75,0.06666666666666667
2022-01-01,Remote Work Tips,1,75,0.013333333333333334
