term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],model
Intercept,6.134263754508044,0.12631712032998912,48.562409738940985,0.0,5.886686748030454,6.381840760985635,OLS_Engagement_LogLikes
C(topic_label)[T.Federal Vaccine Mandates],0.43079806803304665,0.09976337310165,4.318198699978817,1.5730778122192626e-05,0.23526544977758068,0.6263306862885126,OLS_Engagement_LogLikes
C(topic_label)[T.Remote Work During COVID],-1.713136646457878,0.1407255631941667,-12.173599505117421,4.297064606786682e-34,-1.9889536820225602,-1.437319610893196,OLS_Engagement_LogLikes
C(topic_label)[T.Remote Work During Pandemic],-1.1650931225377068,0.13886603889311788,-8.390050813175806,4.8593209755421737e-17,-1.4372655574439563,-0.8929206876314574,OLS_Engagement_LogLikes
C(topic_label)[T.Remote Work Opportunities],-4.103390179485501,0.23625567956071145,-17.36842977538256,1.4308824305457167e-67,-4.566442802567531,-3.640337556403471,OLS_Engagement_LogLikes
C(topic_label)[T.Remote Work Post-Pandemic],-2.4542046321113182,0.1348734067642666,-18.196356798496293,5.515631017334656e-74,-2.718551651841502,-2.1898576123811346,OLS_Engagement_LogLikes
C(topic_label)[T.Remote Work Tips],-3.8510528552927408,0.152458390472869,-25.259697700783885,8.86199108666454e-141,-4.149865809760509,-3.552239900824973,OLS_Engagement_LogLikes
C(topic_label)[T.Vaccine Mandates & Work],0.10952376611937154,0.09793555408244381,1.1183248733873765,0.2634282673947058,-0.08242639268819299,0.30147392492693603,OLS_Engagement_LogLikes
C(topic_label)[T.Vaccine Rollout Progress],0.1299072257490507,0.08591584560503182,1.5120287164052826,0.13052655736214824,-0.038484737338115554,0.298299188836217,OLS_Engagement_LogLikes
C(year)[T.2021],-0.7909459483227566,0.08507185252029875,-9.29738714851697,1.4393931295183158e-20,-0.9576837153606451,-0.624208181284868,OLS_Engagement_LogLikes
C(year)[T.2022],0.11563883179028867,0.09115143117866231,1.2686452674959054,0.2045676114897963,-0.06301469045917082,0.2942923540397482,OLS_Engagement_LogLikes
C(year)[T.2023],0.2660194186579661,0.09721231992816032,2.7364784510291886,0.006210066208524869,0.07548677274518648,0.4565520645707457,OLS_Engagement_LogLikes
has_url[T.True],0.0,0.0,,,0.0,0.0,OLS_Engagement_LogLikes
has_hashtag[T.True],0.0,0.0,,,0.0,0.0,OLS_Engagement_LogLikes
has_mention[T.True],0.0,0.0,,,0.0,0.0,OLS_Engagement_LogLikes
char_len,-0.00034674445469030533,0.0004430643554156385,-0.7826051688699365,0.4338590052326444,-0.0012151346341384107,0.0005216457247578002,OLS_Engagement_LogLikes
