row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,CHEMISTRY,164390,,30.3302583025830258302583025830258302583,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
2,MATERIALS SCIENCE,93969,,34.54742647058823529411764705882352941176,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
3,ENVIRONMENT/ECOLOGY,92088,,31.31179870792247534852091125467528051683,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
4,ENGINEERING,55450,,21.60109076743280093494351382937280872614,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
5,PHYSICS,50802,,14.53562231759656652360515021459227467811,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
6,GEOSCIENCES,42158,,22.78810810810810810810810810810810810811,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
7,"SOCIAL SCIENCES, GENERAL",27524,,12.64889705882352941176470588235294117647,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
8,COMPUTER SCIENCE,22336,,12.38824181919023849140321686078757626179,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
9,PLANT & ANIMAL SCIENCE,21843,,15.88581818181818181818181818181818181818,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
10,BIOLOGY & BIOCHEMISTRY,20837,,23.22965440356744704570791527313266443701,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
11,MOLECULAR BIOLOGY & GENETICS,20568,,38.66165413533834586466165413533834586466,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
12,CLINICAL MEDICINE,16875,,17.95212765957446808510638297872340425532,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
13,PSYCHIATRY/PSYCHOLOGY,15243,,10.44041095890410958904109589041095890411,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
14,NEUROSCIENCE & BEHAVIOR,14295,,18.54085603112840466926070038910505836576,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
15,MATHEMATICS,11984,,5.93561168895492818226844972758791480931,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
16,AGRICULTURAL SCIENCES,6513,,18.82369942196531791907514450867052023121,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
17,PHARMACOLOGY & TOXICOLOGY,5693,,19.69896193771626297577854671280276816609,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
18,ALL FIELDS,696330,,21.44203233256351039260969976905311778291,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
