row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,CHINESE ACADEMY OF SCIENCES,332254,,21.21537577421620586169465551369644339442,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
2,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,223855,,18.31574210440189821633120602192767141221,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
3,UNITED STATES DEPARTMENT OF AGRICULTURE (USDA),220644,,17.56160458452722063037249283667621776504,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
4,CHINA AGRICULTURAL UNIVERSITY,207779,,20.67041384799044966175885395941106247513,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
5,INRAE,187838,,20.16727506978741679192613270345716126262,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
6,JIANGNAN UNIVERSITY,181325,,22.58938582284788837672854117353930484614,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
7,NORTHWEST A&F UNIVERSITY - CHINA,180634,,20.01706560283687943262411347517730496454,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
8,WAGENINGEN UNIVERSITY & RESEARCH,172734,,25.33128024637043554773427188737351517818,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
9,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),167593,,21.89041274817136886102403343782654127482,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
10,NANJING AGRICULTURAL UNIVERSITY,137921,,21.28410493827160493827160493827160493827,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
11,UNIVERSITY OF CALIFORNIA SYSTEM,129479,,20.96825910931174089068825910931174089069,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
12,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",127682,,21.45915966386554621848739495798319327731,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
13,ZHEJIANG UNIVERSITY,125715,,23.66177300959909655561829474872953133823,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
14,EGYPTIAN KNOWLEDGE BANK (EKB),117405,,14.93512275791883984225925454776745961074,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
15,INDIAN COUNCIL OF AGRICULTURAL RESEARCH (ICAR),111262,,8.72437857758958676389869050419509135105,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
16,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,108282,,30.72701475595913734392735527809307604994,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
17,CGIAR,107193,,20.37115165336374002280501710376282782212,Institutions,ResearchFields,AGRICULTURAL SCIENCES,Agricultural Sciences,
