row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,UNIVERSITY OF CALIFORNIA SYSTEM,1001638,,41.12827461607949412827461607949412827462,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
2,HARVARD UNIVERSITY,801607,,53.10062268150503444621091679915209326974,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
3,CHINESE ACADEMY OF SCIENCES,548769,,24.92704973881444469679763797410856234386,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
4,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),517847,,25.65249913310546391241888343983751919552,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
5,HARVARD MEDICAL SCHOOL,459430,,47.87724051688203418090871196331804918716,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
6,HARVARD UNIVERSITY MEDICAL AFFILIATES,452519,,46.05322613474455526155098717687767148382,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
7,US DEPT HLTH HUMAN SERVICES,429089,,40.23715303825956489122280570142535633908,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
8,NATIONAL INSTITUTES OF HEALTH (NIH) - USA,404202,,41.56318766066838046272493573264781491003,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
9,HELMHOLTZ ASSOCIATION,375064,,39.42232499474458692453226823628337187303,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
10,UNIVERSITY OF TEXAS SYSTEM,374841,,35.57378760558033595900161336243712631679,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
11,HOWARD HUGHES MEDICAL INSTITUTE,365028,,67.5852619885206443251249768561377522681,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
12,UNIVERSITY OF LONDON,357932,,33.59602027407546461422939740942369063263,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
13,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM),354595,,27.13460361187633914906642179369452096725,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
14,STANFORD UNIVERSITY,347227,,57.41187169312169312169312169312169312169,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
15,MAX PLANCK SOCIETY,341401,,42.64314264301773669747689233075193604796,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
16,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),340100,,65.1532567049808429118773946360153256705,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
17,EUROPEAN MOLECULAR BIOLOGY LABORATORY (EMBL),329538,,127.234749034749034749034749034749034749,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
18,UNITED STATES DEPARTMENT OF ENERGY (DOE),272302,,45.43667612214249958284665443016852995161,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
19,UNIVERSITY OF CAMBRIDGE,269214,,46.47229414810978767477990678404971517349,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
20,UNIVERSITY OF CALIFORNIA SAN DIEGO,257682,,45.77758038728015633327411618404689998223,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
21,UNIVERSITY SYSTEM OF OHIO,249552,,28.54959386797849216336803569385653815353,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
22,UNIVERSITY OF COPENHAGEN,241136,,40.39128978224455611390284757118927973199,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
23,JOHNS HOPKINS UNIVERSITY,240634,,43.05492932546072642691000178922884236894,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
24,UNIVERSITY OF OXFORD,238365,,35.78516739228344092478606815793424410749,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
25,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE),232478,,31.55238870792616720955483170466883821933,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
26,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,226927,,52.26324274527867342238599723629663749424,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
27,UNIVERSITY OF TORONTO,222776,,37.99045020463847203274215552523874488404,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
28,UNIVERSITY OF WASHINGTON,212783,,44.51527196652719665271966527196652719665,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
29,SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN,212299,,38.81861400621685865788992503199853720973,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
30,UNIVERSITY OF WASHINGTON SEATTLE,208911,,44.7346895074946466809421841541755888651,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
31,UNIVERSITY OF CALIFORNIA BERKELEY,207322,,54.08870336551004435168275502217584137751,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
32,EGYPTIAN KNOWLEDGE BANK (EKB),204566,,18.74001465738365701722242579699523635031,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
33,UNIVERSITY COLLEGE LONDON,204212,,36.23349893541518807665010645848119233499,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
34,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",203162,,23.3439044007813397678961277720326324256,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
35,BROAD INSTITUTE,193078,,92.82596153846153846153846153846153846154,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
36,CNRS - NATIONAL INSTITUTE FOR BIOLOGY (INSB),192592,,31.37188467177064668512787098876038442743,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
37,STATE UNIVERSITY SYSTEM OF FLORIDA,191941,,26.2968899849294423893684066310453486779,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
38,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),189536,,27.15804556526723026221521707981086115489,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
39,UNIVERSITY OF MICHIGAN SYSTEM,186513,,35.57371733740225061987411787144764447835,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
40,UNIVERSITY OF MICHIGAN,186285,,35.63217291507268553940321346595256312165,Institutions,ResearchFields,BIOLOGY & BIOCHEMISTRY,Biology & Biochemistry,
