row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,CHINESE ACADEMY OF SCIENCES,3292410,,29.33496681070967167104735599411948144518,Institutions,ResearchFields,CHEMISTRY,Chemistry,
2,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),1209327,,20.96577729234930046289072658241015238987,Institutions,ResearchFields,CHEMISTRY,Chemistry,
3,UNITED STATES DEPARTMENT OF ENERGY (DOE),1101894,,37.41321472225994839060165693331522477251,Institutions,ResearchFields,CHEMISTRY,Chemistry,
4,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",1044311,,26.89028221238026573282521371922958080132,Institutions,ResearchFields,CHEMISTRY,Chemistry,
5,UNIVERSITY OF CALIFORNIA SYSTEM,899431,,35.88823717181390152421993456228553188094,Institutions,ResearchFields,CHEMISTRY,Chemistry,
6,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",582348,,32.55523255813953488372093023255813953488,Institutions,ResearchFields,CHEMISTRY,Chemistry,
7,TSINGHUA UNIVERSITY,575606,,34.14640802040695260129323129857032686718,Institutions,ResearchFields,CHEMISTRY,Chemistry,
8,CNRS - INSTITUTE OF CHEMISTRY (INC),550740,,23.22523510310799983131615569518829334121,Institutions,ResearchFields,CHEMISTRY,Chemistry,
9,INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM),546269,,18.04714394264759324721662426905414780799,Institutions,ResearchFields,CHEMISTRY,Chemistry,
10,EGYPTIAN KNOWLEDGE BANK (EKB),527247,,17.49094347133757961783439490445859872611,Institutions,ResearchFields,CHEMISTRY,Chemistry,
11,ZHEJIANG UNIVERSITY,463362,,25.89627228525121555915721231766612641815,Institutions,ResearchFields,CHEMISTRY,Chemistry,
12,RUSSIAN ACADEMY OF SCIENCES,461139,,8.75059774564499601502903335989980644427,Institutions,ResearchFields,CHEMISTRY,Chemistry,
13,SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN,453508,,32.59364668679028316803219778640218484979,Institutions,ResearchFields,CHEMISTRY,Chemistry,
14,MAX PLANCK SOCIETY,438002,,33.0917195527349652462979752190994258084,Institutions,ResearchFields,CHEMISTRY,Chemistry,
15,TIANJIN UNIVERSITY,433609,,28.09622238061297220242337847469707769066,Institutions,ResearchFields,CHEMISTRY,Chemistry,
16,HELMHOLTZ ASSOCIATION,404536,,21.48701333191692781643384500982631327349,Institutions,ResearchFields,CHEMISTRY,Chemistry,
17,NANKAI UNIVERSITY,382935,,31.5198781792740143221664334513128652564,Institutions,ResearchFields,CHEMISTRY,Chemistry,
18,JILIN UNIVERSITY,373622,,23.34991563027310793075432785450909318168,Institutions,ResearchFields,CHEMISTRY,Chemistry,
19,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,361372,,29.73031674208144796380090497737556561086,Institutions,ResearchFields,CHEMISTRY,Chemistry,
20,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),354068,,22.17637479644244018539396216961042214706,Institutions,ResearchFields,CHEMISTRY,Chemistry,
21,NANYANG TECHNOLOGICAL UNIVERSITY,353058,,46.42445759368836291913214990138067061144,Institutions,ResearchFields,CHEMISTRY,Chemistry,
22,SICHUAN UNIVERSITY,353010,,20.65231381267185397531153103609664775054,Institutions,ResearchFields,CHEMISTRY,Chemistry,
