row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,HARVARD UNIVERSITY,4460019,,37.80285808731914460803010654257888982124,Institutions,ResearchFields,CLINICAL MEDICINE,Clinical Medicine,
2,HARVARD UNIVERSITY MEDICAL AFFILIATES,3939918,,37.74410116396033912918522776260957034057,Institutions,ResearchFields,CLINICAL MEDICINE,Clinical Medicine,
3,UNIVERSITY OF CALIFORNIA SYSTEM,3369966,,32.78783043558634377949231861920004670124,Institutions,ResearchFields,CLINICAL MEDICINE,Clinical Medicine,
4,UNIVERSITY OF LONDON,2936703,,36.67394725011239322643488685748538888056,Institutions,ResearchFields,CLINICAL MEDICINE,Clinical Medicine,
5,HARVARD MEDICAL SCHOOL,2584366,,35.73119677026877557792279615086826678465,Institutions,ResearchFields,CLINICAL MEDICINE,Clinical Medicine,
6,UNIVERSITY OF TEXAS SYSTEM,2376491,,33.53310286439960491039932270354169606321,Institutions,ResearchFields,CLINICAL MEDICINE,Clinical Medicine,
7,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM),2083111,,31.69386544137784134132611143230989258437,Institutions,ResearchFields,CLINICAL MEDICINE,Clinical Medicine,
8,UNIVERSITY OF TORONTO,2048508,,34.68813817627635255270510541021082042164,Institutions,ResearchFields,CLINICAL MEDICINE,Clinical Medicine,
9,JOHNS HOPKINS UNIVERSITY,1876758,,37.33504416328479350680353306278348054428,Institutions,ResearchFields,CLINICAL MEDICINE,Clinical Medicine,
10,US DEPT HLTH HUMAN SERVICES,1801628,,45.45662814755008326184588989251652621487,Institutions,ResearchFields,CLINICAL MEDICINE,Clinical Medicine,
11,MAYO CLINIC,1672840,,33.09932726553225168183616937079540957657,Institutions,ResearchFields,CLINICAL MEDICINE,Clinical Medicine,
12,ASSISTANCE PUBLIQUE HOPITAUX PARIS (APHP),1657138,,33.36698614690721649484536082474226804124,Institutions,ResearchFields,CLINICAL MEDICINE,Clinical Medicine,
13,UNIVERSITY COLLEGE LONDON,1579684,,38.34370600514588086800330113112287004224,Institutions,ResearchFields,CLINICAL MEDICINE,Clinical Medicine,
