row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,CHINESE ACADEMY OF SCIENCES,288264,,16.18187942068036375884136072751768272146,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
2,TSINGHUA UNIVERSITY,153722,,18.47620192307692307692307692307692307692,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
3,UNIVERSITY OF CALIFORNIA SYSTEM,148989,,18.99885233358837031369548584544758990054,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
4,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,136731,,19.25517532741867342627798901563160118293,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
5,SOUTHEAST UNIVERSITY - CHINA,136118,,19.93526654950205038078500292911540714704,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
6,XIDIAN UNIVERSITY,132359,,16.91272680807564528494761052900587784309,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
7,NANYANG TECHNOLOGICAL UNIVERSITY,130508,,24.54542034982132781643784088771863832989,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
8,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),117207,,11.58286391935962051586125111176993774088,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
9,UNIVERSITY OF LONDON,114110,,21.24162323157110945644080416976917349218,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
10,SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN,113983,,34.17781109445277361319340329835082458771,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
11,INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM),107029,,12.37329479768786127167630057803468208092,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
12,ALPHABET INC.,105705,,71.81046195652173913043478260869565217391,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
13,ZHEJIANG UNIVERSITY,104389,,14.65725919685481606290367874192642516147,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
14,BEIJING UNIVERSITY OF POSTS & TELECOMMUNICATIONS,103471,,15.3517804154302670623145400593471810089,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
15,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,103216,,19.48942598187311178247734138972809667674,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
16,SHANGHAI JIAO TONG UNIVERSITY,99961,,15.49062451572911823957849062451572911824,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
17,UNIVERSITY OF TEXAS SYSTEM,98451,,20.11256384065372829417773237997957099081,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
18,NATIONAL UNIVERSITY OF SINGAPORE,98205,,28.63119533527696793002915451895043731778,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
19,NATIONAL INSTITUTE OF TECHNOLOGY (NIT SYSTEM),97352,,12.34491503931016992137966015724067968552,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
20,GOOGLE INCORPORATED,95999,,70.69145802650957290132547864506627393225,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
21,ETH ZURICH,92994,,46.66031108881083793276467636728549924737,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
22,HARBIN INSTITUTE OF TECHNOLOGY,90004,,16.07501339524915163422039649937488837292,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
23,WUHAN UNIVERSITY,88348,,19.03641456582633053221288515406162464986,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
24,BEIHANG UNIVERSITY,83771,,15.70215557638238050609184629803186504217,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
25,UNIVERSITY OF TECHNOLOGY SYDNEY,83000,,25.94560800250078149421694279462331978743,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
26,CITY UNIVERSITY OF HONG KONG,81487,,21.55170589791060565987833906373975138852,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
27,UNIVERSITY OF WISCONSIN SYSTEM,81125,,66.06270358306188925081433224755700325733,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
28,UNIVERSITY SYSTEM OF GEORGIA,79890,,22.10570005534034311012728278915329275042,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
29,EGYPTIAN KNOWLEDGE BANK (EKB),79115,,15.01233396584440227703984819734345351044,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
30,DALIAN UNIVERSITY OF TECHNOLOGY,78160,,19.22755227552275522755227552275522755228,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
31,UNIVERSITY OF WISCONSIN MADISON,77441,,78.78026449643947100712105798575788402848,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
32,CENTRAL SOUTH UNIVERSITY,76501,,19.91694871127310596198906534756573808904,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
33,KING ABDULAZIZ UNIVERSITY,75782,,28.01552680221811460258780036968576709797,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
34,STATE UNIVERSITY SYSTEM OF FLORIDA,75460,,18.75248508946322067594433399602385685885,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
35,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",74207,,12.82748487467588591184096802074330164218,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
36,UNIVERSITY OF NEW SOUTH WALES SYDNEY,73669,,24.18548916611950098489822718319107025607,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
37,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,73185,,19.31512272367379255740300870942201108472,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
38,ISLAMIC AZAD UNIVERSITY,71994,,17.3730694980694980694980694980694980695,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
39,SHENZHEN UNIVERSITY,71901,,19.31265108783239323126510878323932312651,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
40,BEIJING INSTITUTE OF TECHNOLOGY,70608,,15.74314381270903010033444816053511705686,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
41,HONG KONG POLYTECHNIC UNIVERSITY,69255,,19.0837696335078534031413612565445026178,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
42,NORTHWESTERN POLYTECHNICAL UNIVERSITY,69236,,16.25258215962441314553990610328638497653,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
43,SUN YAT SEN UNIVERSITY,68433,,16.28969293025470126160437990954534634611,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
44,MCMASTER UNIVERSITY,68239,,109.532905296950240770465489566613162119,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
45,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",66935,,15.4477267482114008769905377336718209093,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
46,NORTHEASTERN UNIVERSITY - CHINA,64476,,16.773152965660770031217481789802289282,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
47,TIANJIN UNIVERSITY,63475,,16.67323351720514841082216968741791436827,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
48,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE),63181,,20.64738562091503267973856209150326797386,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
49,SICHUAN UNIVERSITY,61791,,18.36831153388822829964328180737217598098,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
50,XI'AN JIAOTONG UNIVERSITY,61718,,15.52654088050314465408805031446540880503,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
51,UNIV BRETAGNE LOIRE,61708,,12.65545529122231337161607875307629204266,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
52,NANJING UNIVERSITY OF INFORMATION SCIENCE & TECHNOLOGY,60941,,21.30804195804195804195804195804195804196,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
53,HUNAN UNIVERSITY,59845,,19.36731391585760517799352750809061488673,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
54,UNIVERSITY OF BRITISH COLUMBIA,59689,,31.23443223443223443223443223443223443223,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
55,IMPERIAL COLLEGE LONDON,58406,,24.47862531433361274098910310142497904443,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
56,TONGJI UNIVERSITY,57340,,16.84983837790185130766970320305612694681,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
57,PEKING UNIVERSITY,56529,,15.98218829516539440203562340966921119593,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
58,UNIVERSITY OF SYDNEY,55718,,23.43061396131202691337258200168208578638,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
59,NANJING UNIVERSITY OF POSTS & TELECOMMUNICATIONS,54418,,14.88457330415754923413566739606126914661,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
60,NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY - CHINA,54388,,12.7312734082397003745318352059925093633,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
61,UNIVERSITE PARIS SACLAY,53568,,19.58610603290676416819012797074954296161,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
62,HONG KONG UNIVERSITY OF SCIENCE & TECHNOLOGY,52974,,21.54290361935746238308255388369255795039,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
63,HUAWEI TECHNOLOGIES,52438,,22.03277310924369747899159663865546218487,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
64,NANJING UNIVERSITY OF SCIENCE & TECHNOLOGY,51679,,17.95032997568600208405696422368878082668,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
65,UNITED STATES DEPARTMENT OF ENERGY (DOE),51673,,18.920908092273892347125595020139143171,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
66,UNIVERSITY OF MACAU,51412,,26.62454686690833764888658726048679440704,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
67,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),51203,,20.52224448897795591182364729458917835671,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
68,BEIJING JIAOTONG UNIVERSITY,51059,,14.76974255134509690483077813132774081574,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
69,NANJING UNIVERSITY OF AERONAUTICS & ASTRONAUTICS,50076,,14.53163087637840975043528728961114335461,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
70,KING SAUD UNIVERSITY,49917,,17.66348195329087048832271762208067940552,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
71,UNIVERSITY OF CALIFORNIA BERKELEY,49172,,32.97920858484238765928906773977196512408,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
72,UNIVERSITY COLLEGE LONDON,49003,,21.36137750653879686137750653879686137751,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
73,"INSTITUTE OF AUTOMATION, CAS",48666,,21.94138863841298467087466185752930568079,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
74,STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM,48602,,17.26536412078152753108348134991119005329,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
75,PRINCETON UNIVERSITY,47528,,33.00555555555555555555555555555555555556,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
76,CHONGQING UNIVERSITY,47410,,15.96833950825193667901650387335803300775,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
77,STANFORD UNIVERSITY,46892,,21.74953617810760667903525046382189239332,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
78,MONASH UNIVERSITY,46006,,22.43100926377376889322281813749390541199,Institutions,ResearchFields,COMPUTER SCIENCE,Computer Science,
