row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,NATIONAL BUREAU OF ECONOMIC RESEARCH,275057,,39.828699681436432088039386041123660585,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
2,UNIVERSITY OF CALIFORNIA SYSTEM,193514,,26.87321205388140536036661574781280377725,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
3,UNIVERSITY OF LONDON,193298,,20.80038738835682771978908856128268589261,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
4,HARVARD UNIVERSITY,125030,,34.11459754433833560709413369713506139154,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
5,UNIVERSITY SYSTEM OF OHIO,97223,,20.21268191268191268191268191268191268191,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
6,STATE UNIVERSITY SYSTEM OF FLORIDA,89783,,18.09046947410840217610316340922828934112,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
7,STANFORD UNIVERSITY,89499,,35.74241214057507987220447284345047923323,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
8,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),86939,,37.58711629917855598789450929528750540424,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
9,UNIVERSITY SYSTEM OF GEORGIA,84765,,21.37291981845688350983358547655068078669,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
10,UNIVERSITY OF CHICAGO,82298,,35.95369156837046745303626037570991699432,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
11,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE),79852,,23.19930273097036606624055781522370714701,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
12,UNIVERSITY OF TEXAS SYSTEM,79414,,19.53123462862764387604525332021642892277,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
13,UNIVERSITY OF CALIFORNIA BERKELEY,79021,,35.18299198575244879786286731967943009795,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
14,FEDERAL RESERVE SYSTEM - USA,75123,,20.0114544485881726158763985082578582845,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
15,UNIVERSITY OF PENNSYLVANIA,72855,,29.88310090237899917965545529122231337162,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
16,LEIBNIZ ASSOCIATION,71823,,14.53318494536624848239579117766086604614,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
17,LONDON SCHOOL ECONOMICS & POLITICAL SCIENCE,70792,,22.30371770636420919974795211090107120353,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
18,COLUMBIA UNIVERSITY,64546,,27.05196982397317686504610226320201173512,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
19,CENTRE FOR ECONOMIC POLICY RESEARCH - UK,63849,,21.69520897043832823649337410805300713558,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
20,UNIVERSITY OF NORTH CAROLINA,61341,,20.00684931506849315068493150684931506849,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
21,NEW YORK UNIVERSITY,59462,,25.72998701860666378191259195153613154479,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
22,MONASH UNIVERSITY,57912,,17.97950946910897236882955603849736106799,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
23,ERASMUS UNIVERSITY ROTTERDAM,57094,,21.04460007371913011426465167711021009952,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
24,NORTHWESTERN UNIVERSITY,56674,,30.61804430037817396002160994057266342518,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
25,ERASMUS UNIVERSITY ROTTERDAM - EXCL ERASMUS MC,55609,,20.80396558174335952113729891507669285447,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
26,UNIVERSITY OF OXFORD,53132,,19.39124087591240875912408759124087591241,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
27,IZA INSTITUTE LABOR ECONOMICS,52652,,15.73580394500896592946802151823072325164,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
28,UNIVERSITY OF MICHIGAN SYSTEM,51858,,25.44553483807654563297350343473994111874,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
29,INDIANA UNIVERSITY SYSTEM,51762,,26.35539714867617107942973523421588594705,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
30,UNIVERSITY OF MICHIGAN,51043,,25.83147773279352226720647773279352226721,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
31,CENTER FOR ECONOMIC & POLICY RESEARCH (CEPR),49442,,42.95569070373588184187662901824500434405,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
32,UNIVERSITY OF CAMBRIDGE,49022,,23.86660175267770204479065238558909444985,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
33,NATIONAL UNIVERSITY OF SINGAPORE,48887,,22.21126760563380281690140845070422535211,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
34,INDIANA UNIVERSITY BLOOMINGTON,48244,,27.71051120045950603101665709362435381964,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
35,UNIVERSITY OF SOUTHERN CALIFORNIA,47906,,29.10449574726609963547995139732685297691,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
36,TEXAS A&M UNIVERSITY SYSTEM,46574,,21.30558096980786825251601097895699908509,Institutions,ResearchFields,ECONOMICS & BUSINESS,Economics & Business,
