row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,CHINESE ACADEMY OF SCIENCES,1348146,,19.1375683157072893746894740577755695933,Institutions,ResearchFields,ENGINEERING,Engineering,
2,TSINGHUA UNIVERSITY,771539,,21.35216139923617645430896108927879559418,Institutions,ResearchFields,ENGINEERING,Engineering,
3,INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM),656381,,14.75278701789085678324193113368695495819,Institutions,ResearchFields,ENGINEERING,Engineering,
4,HARBIN INSTITUTE OF TECHNOLOGY,574160,,18.05477815163045187258262318795006446338,Institutions,ResearchFields,ENGINEERING,Engineering,
5,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),528619,,15.99452344931921331316187594553706505295,Institutions,ResearchFields,ENGINEERING,Engineering,
6,UNIVERSITY OF CALIFORNIA SYSTEM,512929,,24.24050094517958412098298676748582230624,Institutions,ResearchFields,ENGINEERING,Engineering,
7,SHANGHAI JIAO TONG UNIVERSITY,510133,,17.3331860962930243620672080459379565764,Institutions,ResearchFields,ENGINEERING,Engineering,
8,XI'AN JIAOTONG UNIVERSITY,509650,,17.85739313244569025928521373510861948143,Institutions,ResearchFields,ENGINEERING,Engineering,
9,UNITED STATES DEPARTMENT OF ENERGY (DOE),503714,,25.83413683454713303928608062365370807262,Institutions,ResearchFields,ENGINEERING,Engineering,
10,EGYPTIAN KNOWLEDGE BANK (EKB),499728,,17.33541471537100634821521490269538973879,Institutions,ResearchFields,ENGINEERING,Engineering,
11,ZHEJIANG UNIVERSITY,471534,,16.46245155884509304192996543658136368397,Institutions,ResearchFields,ENGINEERING,Engineering,
12,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,458744,,20.71920870782710808003251885642021588907,Institutions,ResearchFields,ENGINEERING,Engineering,
13,SOUTHEAST UNIVERSITY - CHINA,440475,,15.65465401428723744535664783025908945517,Institutions,ResearchFields,ENGINEERING,Engineering,
14,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",416255,,16.43847247452807835084116578469315219967,Institutions,ResearchFields,ENGINEERING,Engineering,
15,TIANJIN UNIVERSITY,404655,,17.65664543153852866742298629897896849638,Institutions,ResearchFields,ENGINEERING,Engineering,
16,TONGJI UNIVERSITY,394133,,17.32528902369334915820475625302211086202,Institutions,ResearchFields,ENGINEERING,Engineering,
17,CHONGQING UNIVERSITY,388279,,18.33753660149239633512798715405686218948,Institutions,ResearchFields,ENGINEERING,Engineering,
18,NATIONAL INSTITUTE OF TECHNOLOGY (NIT SYSTEM),375758,,13.96091398848225896340330670629760356678,Institutions,ResearchFields,ENGINEERING,Engineering,
19,HONG KONG POLYTECHNIC UNIVERSITY,364165,,23.52791058276263083085669983201964078046,Institutions,ResearchFields,ENGINEERING,Engineering,
20,BEIHANG UNIVERSITY,353380,,15.86798383475527615626403233048944768747,Institutions,ResearchFields,ENGINEERING,Engineering,
21,NANYANG TECHNOLOGICAL UNIVERSITY,349738,,25.83570953682499815320972150402600280712,Institutions,ResearchFields,ENGINEERING,Engineering,
22,BEIJING INSTITUTE OF TECHNOLOGY,346165,,18.25764767932489451476793248945147679325,Institutions,ResearchFields,ENGINEERING,Engineering,
23,SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN,331676,,24.38256266999926486804381386458869367051,Institutions,ResearchFields,ENGINEERING,Engineering,
24,DALIAN UNIVERSITY OF TECHNOLOGY,329667,,16.70976734755943028029803842059911804957,Institutions,ResearchFields,ENGINEERING,Engineering,
25,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,328159,,20.46134181319366504551689736874922060107,Institutions,ResearchFields,ENGINEERING,Engineering,
26,HUNAN UNIVERSITY,314888,,23.71680349476538374632823680048203660465,Institutions,ResearchFields,ENGINEERING,Engineering,
27,CENTRAL SOUTH UNIVERSITY,313118,,19.13339443935227619920562175374274366025,Institutions,ResearchFields,ENGINEERING,Engineering,
28,ISLAMIC AZAD UNIVERSITY,312279,,19.25746176615688209176122348297977306364,Institutions,ResearchFields,ENGINEERING,Engineering,
29,NORTHWESTERN POLYTECHNICAL UNIVERSITY,302564,,15.66390557051149306274591012632014909919,Institutions,ResearchFields,ENGINEERING,Engineering,
30,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",295045,,21.52670363344520647891434408288340872611,Institutions,ResearchFields,ENGINEERING,Engineering,
31,NATIONAL UNIVERSITY OF SINGAPORE,290271,,26.43874669824209855178067219236724656162,Institutions,ResearchFields,ENGINEERING,Engineering,
32,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,267271,,16.30198231168039036291552302531259530345,Institutions,ResearchFields,ENGINEERING,Engineering,
33,CHINA UNIVERSITY OF MINING & TECHNOLOGY,253407,,15.98984098939929328621908127208480565371,Institutions,ResearchFields,ENGINEERING,Engineering,
34,CITY UNIVERSITY OF HONG KONG,245205,,25.04136029411764705882352941176470588235,Institutions,ResearchFields,ENGINEERING,Engineering,
35,CHINA UNIVERSITY OF PETROLEUM,241561,,17.87619329534522311847850218308295715237,Institutions,ResearchFields,ENGINEERING,Engineering,
36,UNIVERSITY OF TEXAS SYSTEM,237206,,20.11754728182512085488932236451530828598,Institutions,ResearchFields,ENGINEERING,Engineering,
