row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,CHINESE ACADEMY OF SCIENCES,1340948,,26.23907641131004794051462674885040602681,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
2,UNIVERSITY OF CALIFORNIA SYSTEM,723712,,35.85750383986523311697963632760243769509,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
3,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),571229,,28.19491609081934846989141164856860809477,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
4,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",522153,,24.45452416635443986511802173098538778569,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
5,SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN,391250,,45.05412252418240442192538000921234454169,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
6,HELMHOLTZ ASSOCIATION,373586,,35.997880131046444401618809019078820582,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
7,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),334323,,30.74799963211625126460038627793617216959,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
8,STATE UNIVERSITY SYSTEM OF FLORIDA,302679,,28.52233320768940821711270260082924990577,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
9,TSINGHUA UNIVERSITY,276280,,34.73909216647805859424116685527473909217,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
10,WAGENINGEN UNIVERSITY & RESEARCH,268589,,42.15144381669805398618957940991839296924,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
11,UNITED STATES DEPARTMENT OF ENERGY (DOE),264604,,38.75845905961622967628533762999853522777,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
12,UNITED STATES DEPARTMENT OF THE INTERIOR,260207,,24.09770327838488609001666975365808483052,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
13,INRAE,254082,,29.62709888059701492537313432835820895522,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
14,UNITED STATES DEPARTMENT OF AGRICULTURE (USDA),245427,,26.00688778213415280279749920525590759775,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
15,UNIVERSITY OF QUEENSLAND,237047,,38.41928687196110210696920583468395461912,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
16,PEKING UNIVERSITY,234341,,33.82032039255303795641506710925097416655,Institutions,ResearchFields,ENVIRONMENT/ECOLOGY,Environment/Ecology,
