row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,CHINESE ACADEMY OF SCIENCES,1158755,,19.03592784860034170061768957813116046787,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
2,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),740831,,23.88082651021855457417316742956611437045,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
3,UNIVERSITY OF CALIFORNIA SYSTEM,607168,,32.61363270129451576516087446957082236665,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
4,HELMHOLTZ ASSOCIATION,548119,,27.50496788438378161380971497390606182256,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
5,NATIONAL AERONAUTICS & SPACE ADMINISTRATION (NASA),453683,,35.10934839808079244698963008822163751741,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
6,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",421847,,16.73199270188798984610502935110264953197,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
7,CHINA UNIVERSITY OF GEOSCIENCES,386976,,17.4912312420900379678177544747785210631,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
8,NATIONAL OCEANIC ATMOSPHERIC ADMIN (NOAA) - USA,347805,,34.73534405273144911614900629182063317687,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
9,SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN,342018,,33.4001953125,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
10,UNITED STATES DEPARTMENT OF ENERGY (DOE),289516,,32.40246222719641857862339115836597649692,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
11,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT (IRD),289043,,25.47083186464575255551639055340148043708,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
12,ETH ZURICH,251046,,34.2491132332878581173260572987721691678,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
13,NASA GODDARD SPACE FLIGHT CENTER,249364,,39.94297613326926157296171712317795931443,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
14,CALIFORNIA INSTITUTE OF TECHNOLOGY,247631,,35.56383742639666810282924026999856383743,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
15,UNIVERSITY OF COLORADO SYSTEM,246353,,33.21464203856006471619253067277875151679,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
16,UNIVERSITY OF COLORADO BOULDER,242475,,34.03635597978663672094329028635597978664,Institutions,ResearchFields,GEOSCIENCES,Geosciences,
