row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,US DEPT HLTH HUMAN SERVICES,456503,,31.34031305780584923795139365646024989702,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
2,HARVARD UNIVERSITY,413754,,38.81369606003752345215759849906191369606,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
3,UNIVERSITY OF CALIFORNIA SYSTEM,389429,,33.19091451461689252535583397255603852382,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
4,HARVARD UNIVERSITY MEDICAL AFFILIATES,346564,,42.02303868073238753486116163453376985571,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
5,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM),324301,,30.89169365593446370737283292055629643742,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
6,UNIVERSITY OF LONDON,315389,,30.48709521507974867085548574190430159497,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
7,NATIONAL INSTITUTES OF HEALTH (NIH) - USA,300469,,39.09302628155087171480614103564923237054,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
8,HARVARD MEDICAL SCHOOL,280303,,42.59276705667831636529402826318188725118,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
9,UNIVERSITE PARIS CITE,217813,,33.08719428831839586814522254291356524381,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
10,JOHNS HOPKINS UNIVERSITY,203004,,29.94600973594925505236760584156955303142,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
11,UNIVERSITY OF TEXAS SYSTEM,188358,,35.0955841252096143096702068194522079374,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
12,ASSISTANCE PUBLIQUE HOPITAUX PARIS (APHP),173277,,32.12402669632925472747497219132369299221,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
13,IMPERIAL COLLEGE LONDON,159994,,34.95608477168450950404194887480882674241,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
14,UNIVERSITY SYSTEM OF OHIO,155998,,29.6348784194528875379939209726443768997,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
15,NIH NATIONAL INSTITUTE OF ALLERGY & INFECTIOUS DISEASES (NIAID),155518,,36.97527341892534474560152163575844032335,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
16,CENTERS FOR DISEASE CONTROL & PREVENTION - USA,154426,,23.5872918894149992362914311898579502062,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
17,UNIVERSITY OF OXFORD,150589,,32.75810311072438546878398955840765716772,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
18,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),149764,,31.56913996627318718381112984822934232715,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
19,UNIVERSITY OF WASHINGTON,147101,,29.47915831663326653306613226452905811623,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
20,UNIVERSITY OF PENNSYLVANIA,146508,,44.31578947368421052631578947368421052632,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
21,UNIVERSITY OF WASHINGTON SEATTLE,146185,,29.46684136262850231808103204998992138682,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
22,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,145054,,33.21593771467826883444011907487978016945,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
23,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE),144035,,36.39085396664982314300151591712986356746,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
24,UNIVERSITY OF MELBOURNE,141173,,35.55099471165953160412994208008058423571,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
25,UNIVERSITY COLLEGE LONDON,129595,,31.40174460867458202083838139084080445844,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
26,MASSACHUSETTS GENERAL HOSPITAL,129317,,40.71693954659949622166246851385390428212,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
27,KAROLINSKA INSTITUTET,128020,,33.07155773701885817618186515112374063549,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
28,BRIGHAM & WOMEN'S HOSPITAL,126957,,45.34178571428571428571428571428571428571,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
29,HOWARD HUGHES MEDICAL INSTITUTE,122684,,90.07635829662261380323054331864904552129,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
30,STANFORD UNIVERSITY,118799,,41.07849239280774550484094052558782849239,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
31,HELMHOLTZ ASSOCIATION,118535,,44.16356184798807749627421758569299552906,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
32,YALE UNIVERSITY,117162,,38.35090016366612111292962356792144026187,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
33,WASHINGTON UNIVERSITY (WUSTL),114402,,47.9471919530595138306789606035205364627,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
34,UNIVERSITY OF PITTSBURGH,113916,,40.02670414617006324666198172874209416725,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
35,UNIVERSITY OF CALIFORNIA SAN DIEGO,112834,,38.61533196440793976728268309377138945927,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
36,CHINESE ACADEMY OF SCIENCES,110496,,32.0557006092254134029590948651000870322,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
37,CORNELL UNIVERSITY,108182,,44.44617912900575184880854560394412489729,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
38,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,107945,,46.93260869565217391304347826086956521739,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
39,LONDON SCHOOL OF HYGIENE & TROPICAL MEDICINE,107353,,24.45398633257403189066059225512528473804,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
40,MONASH UNIVERSITY,106994,,36.93268898860890576458405246807041767346,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
41,WORLD HEALTH ORGANIZATION,105346,,27.81779772907314496963295484552416160549,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
42,SORBONNE UNIVERSITE,105266,,35.41924629878869448183041722745625841184,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
43,EMORY UNIVERSITY,104699,,27.72748940677966101694915254237288135593,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
44,PASTEUR NETWORK,103937,,29.84122882572494975595750789549239161642,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
45,UNIVERSITY OF AMSTERDAM,103843,,34.63742494996664442961974649766511007338,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
46,FREE UNIVERSITY OF BERLIN,103464,,35.27582679849982952608250937606546198432,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
47,US DEPARTMENT OF VETERANS AFFAIRS,102917,,33.83201840894148586456278763971071663379,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
48,VETERANS HEALTH ADMINISTRATION (VHA),100839,,34.20590230664857530529172320217096336499,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
49,UNIVERSITY OF TORONTO,99219,,29.73299370692238537608630506442912795924,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
50,HUMBOLDT UNIVERSITY OF BERLIN,98843,,35.70917630057803468208092485549132947977,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
51,CHARITE UNIVERSITATSMEDIZIN BERLIN,98116,,36.00587155963302752293577981651376146789,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
52,UNIVERSITY OF NORTH CAROLINA,97497,,29.22571942446043165467625899280575539568,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
53,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),94589,,57.9234537660747091243110838946723821188,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
54,UNIVERSITY OF MICHIGAN,94204,,41.31754385964912280701754385964912280702,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
55,UNIVERSITY OF MICHIGAN SYSTEM,94204,,41.31754385964912280701754385964912280702,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
56,WEILL CORNELL MEDICINE,91895,,47.1982537236774524910118130457113507961,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
57,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,90588,,29.43079922027290448343079922027290448343,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
58,UTRECHT UNIVERSITY,86263,,35.18066884176182707993474714518760195759,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
59,UNIVERSITY OF ZURICH,83485,,40.82396088019559902200488997555012224939,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
60,UNIVERSITY OF BARCELONA,82803,,30.35300586510263929618768328445747800587,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
61,DUKE UNIVERSITY,80923,,30.5831443688586545729402872260015117158,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
62,ERASMUS UNIVERSITY ROTTERDAM,80789,,36.16338406445837063563115487914055505819,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
63,NIH NATIONAL CANCER INSTITUTE (NCI),80354,,40.21721721721721721721721721721721721722,Institutions,ResearchFields,IMMUNOLOGY,Immunology,
