row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,CHINESE ACADEMY OF SCIENCES,3264587,,36.71168962608940118077031206072533033455,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
2,UNITED STATES DEPARTMENT OF ENERGY (DOE),1125950,,45.06503902341404842905743446067640584351,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
3,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",990881,,36.99525836320191158900836320191158900836,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
4,UNIVERSITY OF CALIFORNIA SYSTEM,812534,,49.83342532965348052744556884391291015026,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
5,TSINGHUA UNIVERSITY,781845,,40.8402110321771834517342248223986627664,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
6,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),641998,,22.43728375214063537552860587844685981896,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
7,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",578997,,35.62400787546914415800159970466990709407,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
8,NANYANG TECHNOLOGICAL UNIVERSITY,539452,,59.42410222515972681207314386428728794889,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
9,SHANGHAI JIAO TONG UNIVERSITY,523797,,29.93467824894273631272145388044347925477,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
10,ZHEJIANG UNIVERSITY,518465,,34.11851803106080547512503290339563042906,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
11,HARBIN INSTITUTE OF TECHNOLOGY,482903,,24.50537907236374708210697249568659291586,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
12,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,479907,,37.00416377515614156835530881332408049965,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
13,CENTRAL SOUTH UNIVERSITY,476327,,24.24796375483608226430462227652209326003,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
14,PEKING UNIVERSITY,466759,,44.98448342328450269853508095605242868157,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
15,INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM),459680,,18.06705184137090751876744094642927327752,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
16,SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN,456370,,43.50109617767610332666094747879134496235,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
17,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,442065,,32.46658343125734430082256169212690951821,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
18,XI'AN JIAOTONG UNIVERSITY,439800,,28.33945486178233133578194471293253431278,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
19,TIANJIN UNIVERSITY,422443,,33.62328876154091053804520853231454950653,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
20,UNIVERSITY OF SCIENCE & TECHNOLOGY BEIJING,421104,,21.93592748867010470385997812158149710892,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
21,HELMHOLTZ ASSOCIATION,416214,,27.55289289024228783264927843241096253144,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
22,SOOCHOW UNIVERSITY - CHINA,410326,,41.07778556412053258584442887175893482831,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
23,NORTHWESTERN POLYTECHNICAL UNIVERSITY,409762,,26.54242777561860344604223344992874724705,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
24,UNIVERSITY SYSTEM OF GEORGIA,408075,,58.60620422231796639379577768203360620422,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
25,NATIONAL UNIVERSITY OF SINGAPORE,400904,,47.23742193943678567220454813243784611759,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
26,GEORGIA INSTITUTE OF TECHNOLOGY,382974,,63.51144278606965174129353233830845771144,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
27,SICHUAN UNIVERSITY,375750,,27.1711620507628895798683925084966375009,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
28,ZHENGZHOU UNIVERSITY,367394,,36.67704901667165818109214335629429969053,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
29,JILIN UNIVERSITY,363509,,31.307294806648867453277064852295237275,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
30,FUDAN UNIVERSITY,353640,,40.50859106529209621993127147766323024055,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
31,WUHAN UNIVERSITY OF TECHNOLOGY,346749,,31.95843317972350230414746543778801843318,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
32,CITY UNIVERSITY OF HONG KONG,345689,,45.89604354753053637812002124269782262347,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
33,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),339993,,60.5400641025641025641025641025641025641,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
34,UNIVERSITY OF TEXAS SYSTEM,323172,,43.18749164773486569557664038487237738875,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
35,STANFORD UNIVERSITY,320151,,74.47103977669225401256106071179344033496,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
36,NANJING UNIVERSITY,311101,,37.35602785782901056676272814601344860711,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
37,SHENZHEN UNIVERSITY,308760,,36.16303583977512297962052002810962754743,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
38,UNIVERSITY SYSTEM OF OHIO,308263,,39.66838244756144640329429931797709432505,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
39,CHONGQING UNIVERSITY,305344,,26.74702172389628591450595655220742817099,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
40,EGYPTIAN KNOWLEDGE BANK (EKB),303324,,19.79921671018276762402088772845953002611,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
41,MAX PLANCK SOCIETY,300834,,38.73731650785475148081380375997939737317,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
42,BEIHANG UNIVERSITY,298359,,30.73964558005357510818050690294663094993,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
43,BEIJING INSTITUTE OF TECHNOLOGY,294565,,31.58196633429827382866945427254208212716,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
44,SHANDONG UNIVERSITY,288177,,25.82231182795698924731182795698924731183,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
45,HUNAN UNIVERSITY,278475,,37.23923508959614870286172773468841936347,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
46,SUN YAT SEN UNIVERSITY,278205,,33.30599784508559798874655812283012091464,Institutions,ResearchFields,MATERIALS SCIENCE,Materials Science,
