row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),125705,,6.38842303196625501854957564669410987447,Institutions,ResearchFields,MATHEMATICS,Mathematics,
2,UNIVERSITY OF CALIFORNIA SYSTEM,86503,,9.15375661375661375661375661375661375661,Institutions,ResearchFields,MATHEMATICS,Mathematics,
3,CNRS - NATIONAL INSTITUTE FOR MATHEMATICAL SCIENCES (INSMI),57573,,7.0425688073394495412844036697247706422,Institutions,ResearchFields,MATHEMATICS,Mathematics,
4,CHINESE ACADEMY OF SCIENCES,53218,,6.84299858557284299858557284299858557284,Institutions,ResearchFields,MATHEMATICS,Mathematics,
5,EGYPTIAN KNOWLEDGE BANK (EKB),47070,,8.54730343199564191029598692573088796078,Institutions,ResearchFields,MATHEMATICS,Mathematics,
6,KING ABDULAZIZ UNIVERSITY,45618,,11.22766428747231110017228648781688407581,Institutions,ResearchFields,MATHEMATICS,Mathematics,
7,SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN,41380,,11.25067971723762914627514953779227841218,Institutions,ResearchFields,MATHEMATICS,Mathematics,
8,CHINA MEDICAL UNIVERSITY TAIWAN,39378,,12.44170616113744075829383886255924170616,Institutions,ResearchFields,MATHEMATICS,Mathematics,
9,RUSSIAN ACADEMY OF SCIENCES,35773,,3.49618842845973416731821735731039874902,Institutions,ResearchFields,MATHEMATICS,Mathematics,
10,UNIVERSITE PARIS CITE,35607,,7.40886392009987515605493133583021223471,Institutions,ResearchFields,MATHEMATICS,Mathematics,
11,SORBONNE UNIVERSITE,34206,,8.07888521492678318375059045819555975437,Institutions,ResearchFields,MATHEMATICS,Mathematics,
12,UNIVERSITY OF TEXAS SYSTEM,33144,,8.53566829770795776461498841102240535668,Institutions,ResearchFields,MATHEMATICS,Mathematics,
13,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),32613,,12.44296070202212895841281953452880579931,Institutions,ResearchFields,MATHEMATICS,Mathematics,
14,STATE UNIVERSITY SYSTEM OF FLORIDA,31920,,8.87406171809841534612176814011676396997,Institutions,ResearchFields,MATHEMATICS,Mathematics,
15,UNIV BRETAGNE LOIRE,31324,,6.11796875,Institutions,ResearchFields,MATHEMATICS,Mathematics,
16,STANFORD UNIVERSITY,31108,,14.82039066222010481181515007146260123869,Institutions,ResearchFields,MATHEMATICS,Mathematics,
17,ETH ZURICH,30151,,13.14341761115954664341761115954664341761,Institutions,ResearchFields,MATHEMATICS,Mathematics,
18,PRINCETON UNIVERSITY,28991,,14.14195121951219512195121951219512195122,Institutions,ResearchFields,MATHEMATICS,Mathematics,
19,INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM),28329,,4.8483655656340920759883621427348964573,Institutions,ResearchFields,MATHEMATICS,Mathematics,
20,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE),27927,,8.71357254290171606864274570982839313573,Institutions,ResearchFields,MATHEMATICS,Mathematics,
21,UNIVERSITY OF CALIFORNIA BERKELEY,27489,,11.75245831551945275758871312526720820864,Institutions,ResearchFields,MATHEMATICS,Mathematics,
22,UNIVERSITY OF OXFORD,27283,,8.39735303170206217297630040012311480456,Institutions,ResearchFields,MATHEMATICS,Mathematics,
23,UNIVERSITE PARIS SACLAY,26947,,7.01927585308674133889033602500651211253,Institutions,ResearchFields,MATHEMATICS,Mathematics,
24,CHINA MEDICAL UNIVERSITY HOSPITAL - TAIWAN,26555,,12.82230806373732496378561081603090294544,Institutions,ResearchFields,MATHEMATICS,Mathematics,
25,UNIVERSITY OF LONDON,26286,,7.51457975986277873070325900514579759863,Institutions,ResearchFields,MATHEMATICS,Mathematics,
26,UNIVERSITY OF CAMBRIDGE,26081,,11.16003423192126658108686350021394950792,Institutions,ResearchFields,MATHEMATICS,Mathematics,
27,UNIVERSITY SYSTEM OF OHIO,25264,,5.80514705882352941176470588235294117647,Institutions,ResearchFields,MATHEMATICS,Mathematics,
28,HARVARD UNIVERSITY,25208,,11.89617744218971212836243511090136857008,Institutions,ResearchFields,MATHEMATICS,Mathematics,
29,SHANDONG UNIVERSITY OF SCIENCE & TECHNOLOGY,24766,,17.47776993648553281580804516584333098095,Institutions,ResearchFields,MATHEMATICS,Mathematics,
30,COLUMBIA UNIVERSITY,24339,,12.46875,Institutions,ResearchFields,MATHEMATICS,Mathematics,
31,TEXAS A&M UNIVERSITY SYSTEM,23891,,9.12218403970981290568919434898816342115,Institutions,ResearchFields,MATHEMATICS,Mathematics,
32,INSTITUT POLYTECHNIQUE DE PARIS,22722,,8.33528980190755685986793837123991195891,Institutions,ResearchFields,MATHEMATICS,Mathematics,
33,UNIVERSITY SYSTEM OF GEORGIA,22395,,6.60814399527884331661257007966951903216,Institutions,ResearchFields,MATHEMATICS,Mathematics,
34,CANKAYA UNIVERSITY,21682,,22.05696846388606307222787385554425228891,Institutions,ResearchFields,MATHEMATICS,Mathematics,
35,UNIVERSITY OF WASHINGTON,20756,,11.28656878738444806960304513322457857531,Institutions,ResearchFields,MATHEMATICS,Mathematics,
36,UNIVERSITY OF WASHINGTON SEATTLE,20635,,11.48302726766833611574846967167501391208,Institutions,ResearchFields,MATHEMATICS,Mathematics,
37,UNIVERSITY OF CALIFORNIA LOS ANGELES,20450,,10.81438392384981491274457958751983077737,Institutions,ResearchFields,MATHEMATICS,Mathematics,
38,"ACADEMY OF MATHEMATICS & SYSTEM SCIENCES, CAS",20359,,7.51254612546125461254612546125461254613,Institutions,ResearchFields,MATHEMATICS,Mathematics,
39,UNIVERSITY OF MICHIGAN SYSTEM,20283,,8.35723114956736711990111248454882571075,Institutions,ResearchFields,MATHEMATICS,Mathematics,
40,UNIVERSITY OF MICHIGAN,20186,,8.35859213250517598343685300207039337474,Institutions,ResearchFields,MATHEMATICS,Mathematics,
41,NEW YORK UNIVERSITY,19859,,12.53724747474747474747474747474747474747,Institutions,ResearchFields,MATHEMATICS,Mathematics,
42,UNIVERSITY OF WISCONSIN SYSTEM,19414,,8.06229235880398671096345514950166112957,Institutions,ResearchFields,MATHEMATICS,Mathematics,
43,UNIVERSITY OF CHICAGO,19002,,11.06697728596389050669772859638905066977,Institutions,ResearchFields,MATHEMATICS,Mathematics,
44,CENTRAL SOUTH UNIVERSITY,18517,,7.43057784911717495987158908507223113965,Institutions,ResearchFields,MATHEMATICS,Mathematics,
45,PEKING UNIVERSITY,18497,,6.88901303538175046554934823091247672253,Institutions,ResearchFields,MATHEMATICS,Mathematics,
46,HARBIN INSTITUTE OF TECHNOLOGY,18399,,8.61376404494382022471910112359550561798,Institutions,ResearchFields,MATHEMATICS,Mathematics,
47,UNIVERSITE PSL,18377,,9.58133472367049009384775808133472367049,Institutions,ResearchFields,MATHEMATICS,Mathematics,
