row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,UNIVERSITY OF CALIFORNIA SYSTEM,257407,,36.89893922018348623853211009174311926606,Institutions,ResearchFields,MICROBIOLOGY,Microbiology,
2,US DEPT HLTH HUMAN SERVICES,196536,,33.13149022252191503708698583951449763992,Institutions,ResearchFields,MICROBIOLOGY,Microbiology,
3,CHINESE ACADEMY OF SCIENCES,181298,,24.23770053475935828877005347593582887701,Institutions,ResearchFields,MICROBIOLOGY,Microbiology,
4,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),176879,,25.4575417386298215313759355210132412205,Institutions,ResearchFields,MICROBIOLOGY,Microbiology,
5,HARVARD UNIVERSITY,154572,,42.24432905165345722875102487018311013938,Institutions,ResearchFields,MICROBIOLOGY,Microbiology,
6,NATIONAL INSTITUTES OF HEALTH (NIH) - USA,141683,,38.63730569948186528497409326424870466321,Institutions,ResearchFields,MICROBIOLOGY,Microbiology,
7,UNIVERSITY OF TEXAS SYSTEM,113029,,36.43745970341715022566086395873629916183,Institutions,ResearchFields,MICROBIOLOGY,Microbiology,
8,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM),110703,,23.98245233968804159445407279029462738302,Institutions,ResearchFields,MICROBIOLOGY,Microbiology,
9,UNITED STATES DEPARTMENT OF ENERGY (DOE),101282,,42.57335014712063892391761244220260613703,Institutions,ResearchFields,MICROBIOLOGY,Microbiology,
10,PASTEUR NETWORK,99190,,25.29066802651708312085670576236613972463,Institutions,ResearchFields,MICROBIOLOGY,Microbiology,
11,UNIVERSITE PARIS CITE,99167,,27.80902972518227706113292204150308468873,Institutions,ResearchFields,MICROBIOLOGY,Microbiology,
12,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),97749,,26.59836734693877551020408163265306122449,Institutions,ResearchFields,MICROBIOLOGY,Microbiology,
13,HARVARD MEDICAL SCHOOL,93850,,43.44907407407407407407407407407407407407,Institutions,ResearchFields,MICROBIOLOGY,Microbiology,
