row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,HARVARD UNIVERSITY,1387955,,77.94434772842140731173134160723311057449,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
2,UNIVERSITY OF CALIFORNIA SYSTEM,1309492,,59.04197664457369583840569908471977997205,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
3,HARVARD UNIVERSITY MEDICAL AFFILIATES,996425,,78.98105580215599239061509194673430564363,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
4,HARVARD MEDICAL SCHOOL,954127,,80.9611370386084005091217649554518455664,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
5,HOWARD HUGHES MEDICAL INSTITUTE,751116,,106.905209222886421861656703672075149445,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
6,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),744828,,111.234767025089605734767025089605734767,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
7,UNIVERSITY OF TEXAS SYSTEM,716447,,62.78014370837714686295127935506484402383,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
8,US DEPT HLTH HUMAN SERVICES,648590,,59.12397447584320875113947128532360984503,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
9,NATIONAL INSTITUTES OF HEALTH (NIH) - USA,627646,,61.49172136768884099147643773880670128343,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
10,UNIVERSITY OF LONDON,580130,,56.14342398141875544372399109648698345108,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
11,BROAD INSTITUTE,577333,,130.205908885881822282363554352728912945,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
12,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM),568067,,43.87634200973198424345408202672433768441,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
13,CHINESE ACADEMY OF SCIENCES,567614,,36.0527184959349593495934959349593495935,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
14,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),566337,,40.06912409791990943823404556388849582567,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
