row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,UNIVERSITY OF CALIFORNIA SYSTEM,60245,,57.1042654028436018957345971563981042654,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
2,HARVARD UNIVERSITY,47080,,64.67032967032967032967032967032967032967,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
3,CHINESE ACADEMY OF SCIENCES,36060,,49.128065395095367847411444141689373297,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
4,HARVARD MEDICAL SCHOOL,27190,,79.5029239766081871345029239766081871345,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
5,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),26918,,43.13782051282051282051282051282051282051,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
6,HARVARD UNIVERSITY MEDICAL AFFILIATES,25767,,70.01902173913043478260869565217391304348,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
7,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),25349,,74.99704142011834319526627218934911242604,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
8,HOWARD HUGHES MEDICAL INSTITUTE,24883,,128.927461139896373056994818652849740933,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
9,UNITED STATES DEPARTMENT OF ENERGY (DOE),24492,,78.24920127795527156549520766773162939297,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
10,US DEPT HLTH HUMAN SERVICES,22329,,53.03800475059382422802850356294536817102,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
11,UNIVERSITY OF OXFORD,20720,,59.03133903133903133903133903133903133903,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
12,UNIVERSITY OF LONDON,20119,,33.9847972972972972972972972972972972973,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
13,COLUMBIA UNIVERSITY,20082,,104.59375,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
14,NATIONAL INSTITUTES OF HEALTH (NIH) - USA,19578,,63.77198697068403908794788273615635179153,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
15,UNIVERSITY OF CALIFORNIA SAN DIEGO,18826,,72.13026819923371647509578544061302681992,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
16,UNIVERSITY OF TEXAS SYSTEM,18659,,53.15954415954415954415954415954415954416,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
17,STANFORD UNIVERSITY,18352,,62.21016949152542372881355932203389830508,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
18,IMPERIAL COLLEGE LONDON,17648,,72.0326530612244897959183673469387755102,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
19,UNIVERSITY OF CAMBRIDGE,16934,,54.80258899676375404530744336569579288026,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
20,UNIVERSITY OF WASHINGTON,15857,,71.10762331838565022421524663677130044843,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
21,UNIVERSITY OF WASHINGTON SEATTLE,15775,,72.03196347031963470319634703196347031963,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
22,JOHNS HOPKINS UNIVERSITY,15344,,59.70428015564202334630350194552529182879,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
23,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM),15060,,44.68842729970326409495548961424332344214,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
24,YALE UNIVERSITY,14612,,65.81981981981981981981981981981981981982,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
25,MAX PLANCK SOCIETY,14367,,47.73089700996677740863787375415282392027,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
26,UNIVERSITY OF CALIFORNIA BERKELEY,14328,,64.83257918552036199095022624434389140271,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
27,STATE UNIVERSITY SYSTEM OF FLORIDA,13888,,49.07420494699646643109540636042402826855,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
28,HELMHOLTZ ASSOCIATION,13812,,46.34899328859060402684563758389261744966,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
29,UNIVERSITY OF TORONTO,13099,,56.70562770562770562770562770562770562771,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
30,TSINGHUA UNIVERSITY,12875,,73.15340909090909090909090909090909090909,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
31,PEKING UNIVERSITY,12861,,68.77540106951871657754010695187165775401,Institutions,ResearchFields,MULTIDISCIPLINARY,Multidisciplinary,
