row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,UNIVERSITY OF CALIFORNIA SYSTEM,987749,,35.35377071477146640896238233293961845449,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
2,HARVARD UNIVERSITY,860524,,37.39945238819592333434742926680864009735,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
3,UNIVERSITY OF LONDON,757505,,37.23481124655918206842312229650019661817,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
4,HARVARD UNIVERSITY MEDICAL AFFILIATES,719025,,36.36214220693840396480226560129462931122,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
5,HARVARD MEDICAL SCHOOL,548837,,36.04130548988705017073811400052534804308,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
6,UNIVERSITY COLLEGE LONDON,522891,,39.18547661870503597122302158273381294964,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
7,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM),472669,,28.02828510436432637571157495256166982922,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
8,MASSACHUSETTS GENERAL HOSPITAL,391931,,39.69725514028157601539552314392788412843,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
9,US DEPT HLTH HUMAN SERVICES,380199,,39.29299297230260438197602315006200909467,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
10,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,365874,,42.55833430266371990229149703384901709899,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
11,UNIVERSITY OF TORONTO,363619,,30.03130161876445325404691113313511727783,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
12,JOHNS HOPKINS UNIVERSITY,361039,,35.32325604148322081988063790235789061736,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
13,NATIONAL INSTITUTES OF HEALTH (NIH) - USA,359056,,39.86853208971796580057739284921163668665,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
14,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),333441,,26.56265434557476300485939616028041105712,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
15,HELMHOLTZ ASSOCIATION,320261,,38.93277413080476537806953561876975443715,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
16,UNIVERSITY OF TEXAS SYSTEM,319020,,27.57780082987551867219917012448132780083,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
17,UNIVERSITY OF PENNSYLVANIA,316280,,36.65739452943903569772832637923041261011,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
18,UNIVERSITY SYSTEM OF OHIO,288042,,28.17312206572769953051643192488262910798,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
19,STANFORD UNIVERSITY,287669,,40.30671150343281490822474429031806080986,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
20,MAYO CLINIC,287578,,37.9691048323210984948508053868497491418,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
21,US DEPARTMENT OF VETERANS AFFAIRS,287237,,30.96561017680034497628288055196205260888,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
22,VETERANS HEALTH ADMINISTRATION (VHA),280015,,30.97168454816945028204844596836633115806,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
23,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE),279545,,27.47911137324289786690258527474687899341,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
24,UNIVERSITY OF OXFORD,275458,,42.75306534223187955921154741580009312432,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
25,COLUMBIA UNIVERSITY,268795,,36.18672590199246095853527194399569197631,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
26,KING'S COLLEGE LONDON,264847,,38.51199651010615093790897193543696379235,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
27,UNIVERSITY OF CALIFORNIA SAN DIEGO,244999,,38.84556841604566354843824322181702869827,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
28,UNIVERSITY OF CALIFORNIA LOS ANGELES,242542,,35.01400317597805687887974592175544968962,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
29,UNIVERSITY OF MELBOURNE,239025,,37.12721342031686859273066169617893755825,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
30,KAROLINSKA INSTITUTET,238688,,38.14125918823905401086609140300415468201,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
31,MCGILL UNIVERSITY,236881,,34.39538260490779729925947437200522723973,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
32,YALE UNIVERSITY,232981,,34.72663586227455656580712475778804590848,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
33,NEW YORK UNIVERSITY,221816,,39.34302944306491663710535650940049663001,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
34,WASHINGTON UNIVERSITY (WUSTL),220341,,38.78560112656222496039429677873613800387,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
35,UNIVERSITY OF CAMBRIDGE,220030,,40.36507062924234085488901119060722803155,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
36,ASSISTANCE PUBLIQUE HOPITAUX PARIS (APHP),212815,,31.94940699594655457138567782615222939499,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
37,UNIVERSITY OF WASHINGTON,209530,,37.11780336581045172719220549158547387068,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
38,UNIVERSITY OF WASHINGTON SEATTLE,207646,,37.1459749552772808586762075134168157424,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
39,STATE UNIVERSITY SYSTEM OF FLORIDA,204941,,27.55694500470619873604948231813903455695,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
40,FREE UNIVERSITY OF BERLIN,203751,,33.19501466275659824046920821114369501466,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
41,HUMBOLDT UNIVERSITY OF BERLIN,203215,,32.4417305236270753512132822477650063857,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
42,UNIVERSITY OF PITTSBURGH,197067,,30.16947336191059399877526025719534598898,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
43,VRIJE UNIVERSITEIT AMSTERDAM,194106,,36.64451576363979611100622994147630734378,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
44,RUPRECHT KARLS UNIVERSITY HEIDELBERG,192555,,40.05720823798627002288329519450800915332,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
45,CHARITE UNIVERSITATSMEDIZIN BERLIN,190073,,33.80878690857346140163642831732479544646,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
46,BRIGHAM & WOMEN'S HOSPITAL,189777,,36.90723453908984830805134189031505250875,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
47,MAX PLANCK SOCIETY,189739,,35.50505239520958083832335329341317365269,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
48,CNRS - NATIONAL INSTITUTE FOR BIOLOGY (INSB),185782,,30.47604986876640419947506561679790026247,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
49,UNIVERSITY OF SYDNEY,176599,,33.96787843816118484323908443931525293326,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
50,SORBONNE UNIVERSITE,176455,,31.9375565610859728506787330316742081448,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
51,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,173425,,35.6694775812422871246400658165364047717,Institutions,ResearchFields,NEUROSCIENCE & BEHAVIOR,Neuroscience & Behavior,
