row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,EGYPTIAN KNOWLEDGE BANK (EKB),217012,,16.16597139451728247914183551847437425507,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
2,UNIVERSITY OF CALIFORNIA SYSTEM,161513,,24.93254090768755788823711021920345785736,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
3,US DEPT HLTH HUMAN SERVICES,156090,,24.37382885696439725171767645221736414741,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
4,CHINESE ACADEMY OF SCIENCES,155500,,18.85076979027760940720087283307067523336,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
5,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM),143543,,19.1492796157950907150480256136606189968,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
6,UNIVERSITY OF LONDON,131504,,25.34284062439776450183079591443438042012,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
7,HARVARD UNIVERSITY,123527,,27.41997780244173140954495005549389567148,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
8,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),112435,,20.48369466205137547822918564401530333394,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
9,UNIVERSITY OF TEXAS SYSTEM,108310,,25.60520094562647754137115839243498817967,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
10,NATIONAL INSTITUTES OF HEALTH (NIH) - USA,90360,,30.80804636890555744971019434026593931129,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
11,HARVARD UNIVERSITY MEDICAL AFFILIATES,89664,,25.65493562231759656652360515021459227468,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
12,CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE,84259,,16.28822733423545331529093369418132611637,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
13,CHINA PHARMACEUTICAL UNIVERSITY,81401,,19.22555503070382616910722720831365139348,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
14,ZHEJIANG UNIVERSITY,79487,,17.66770393420760168926428095132251611469,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
15,SHANGHAI JIAO TONG UNIVERSITY,78853,,17.06774891774891774891774891774891774892,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
16,FUDAN UNIVERSITY,75770,,17.22436917481245737667651739031598090475,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
17,UNIVERSITY SYSTEM OF OHIO,75607,,18.95862587763289869608826479438314944835,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
18,HARVARD MEDICAL SCHOOL,75587,,27.53624772313296903460837887067395264117,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
19,SUN YAT SEN UNIVERSITY,73123,,17.86537991693134620083068653799169313462,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
20,UNIVERSITY COLLEGE LONDON,72927,,27.58207261724659606656580937972768532526,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
21,UNIVERSITY OF NORTH CAROLINA,71255,,23.3087994766110565914295060516846581616,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
22,TEHRAN UNIVERSITY OF MEDICAL SCIENCES,70681,,18.88856226616782469267771245323356493854,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
23,PEKING UNION MEDICAL COLLEGE,70392,,17.27411042944785276073619631901840490798,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
24,MONASH UNIVERSITY,70099,,24.67405843013023583245336149243224216825,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
25,SICHUAN UNIVERSITY,69182,,17.46579146680131279979803080030295379955,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
26,UNIVERSITE PARIS CITE,66186,,20.04421562689279224712295578437310720775,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
27,STATE UNIVERSITY SYSTEM OF FLORIDA,65036,,18.26340915473181690536366189272676214546,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
28,UNIVERSITY OF COPENHAGEN,63756,,22.80257510729613733905579399141630901288,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
29,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,59455,,23.58389527965093216977389924633082110274,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
30,ASTRAZENECA,58880,,23.10832025117739403453689167974882260597,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
31,UTRECHT UNIVERSITY,58392,,24.9218950064020486555697823303457106274,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
32,CIBER - CENTRO DE INVESTIGACION BIOMEDICA EN RED,57970,,21.08,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
33,JOHNS HOPKINS UNIVERSITY,57690,,24.9093264248704663212435233160621761658,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
34,MASHHAD UNIVERSITY OF MEDICAL SCIENCES,57565,,21.55992509363295880149812734082397003745,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
35,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE),57520,,20.23214913823425958494548012662680267323,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
36,NANJING MEDICAL UNIVERSITY,57394,,15.36241970021413276231263383297644539615,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
37,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,57342,,16.7421897810218978102189781021897810219,Institutions,ResearchFields,PHARMACOLOGY & TOXICOLOGY,Pharmacology & Toxicology,
