row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,CHINESE ACADEMY OF SCIENCES,1325260,,17.1550251126184435354424480919587842386,Institutions,ResearchFields,PHYSICS,Physics,
2,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),1142774,,21.60457510161640986860761886756782304566,Institutions,ResearchFields,PHYSICS,Physics,
3,UNITED STATES DEPARTMENT OF ENERGY (DOE),1141223,,27.07463642618205973761002111456430452421,Institutions,ResearchFields,PHYSICS,Physics,
4,UNIVERSITY OF CALIFORNIA SYSTEM,858504,,31.18997275204359673024523160762942779292,Institutions,ResearchFields,PHYSICS,Physics,
5,MAX PLANCK SOCIETY,694560,,31.51647154914239041655322624557582357746,Institutions,ResearchFields,PHYSICS,Physics,
6,HELMHOLTZ ASSOCIATION,585889,,23.10470068617398848489628519599337487184,Institutions,ResearchFields,PHYSICS,Physics,
7,ISTITUTO NAZIONALE DI FISICA NUCLEARE (INFN),557023,,23.55874640500761292505498223650820504145,Institutions,ResearchFields,PHYSICS,Physics,
8,UNIVERSITE PARIS SACLAY,524685,,26.61619236037132856490640693958301628367,Institutions,ResearchFields,PHYSICS,Physics,
9,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),507626,,42.96453660600931019889970376639864578925,Institutions,ResearchFields,PHYSICS,Physics,
10,RUSSIAN ACADEMY OF SCIENCES,505205,,10.40715639419907712590639419907712590639,Institutions,ResearchFields,PHYSICS,Physics,
11,SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN,497854,,30.35695121951219512195121951219512195122,Institutions,ResearchFields,PHYSICS,Physics,
12,TSINGHUA UNIVERSITY,494575,,26.65885079775765416127641224665804225959,Institutions,ResearchFields,PHYSICS,Physics,
13,UNIVERSITY OF TOKYO,421736,,25.37063105335980268302953738795644588823,Institutions,ResearchFields,PHYSICS,Physics,
14,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",419268,,14.58323478260869565217391304347826086957,Institutions,ResearchFields,PHYSICS,Physics,
15,CEA,407659,,26.48340154615734424738517507958162801273,Institutions,ResearchFields,PHYSICS,Physics,
16,STANFORD UNIVERSITY,404361,,42.79858171041490262489415749364944961897,Institutions,ResearchFields,PHYSICS,Physics,
17,PEKING UNIVERSITY,393980,,24.83015062708766622549946429696855108086,Institutions,ResearchFields,PHYSICS,Physics,
18,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),361009,,26.34140824516599781101787668734038672018,Institutions,ResearchFields,PHYSICS,Physics,
19,UNIVERSITY OF CALIFORNIA BERKELEY,360060,,40.83238829666591063733272850986618280789,Institutions,ResearchFields,PHYSICS,Physics,
20,SORBONNE UNIVERSITE,357685,,29.88178780284043441938178780284043441938,Institutions,ResearchFields,PHYSICS,Physics,
21,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",335992,,18.56822326609560652113843603205305332965,Institutions,ResearchFields,PHYSICS,Physics,
22,UNIVERSITY OF CAMBRIDGE,331614,,37.21818181818181818181818181818181818182,Institutions,ResearchFields,PHYSICS,Physics,
23,UNIVERSITY SYSTEM OF OHIO,330015,,32.41160872127283441367118444313494401886,Institutions,ResearchFields,PHYSICS,Physics,
24,HARVARD UNIVERSITY,324315,,42.81951412727752838658568787958806443095,Institutions,ResearchFields,PHYSICS,Physics,
25,UNIVERSITY OF OXFORD,322369,,33.48940369831705796800332432993974651984,Institutions,ResearchFields,PHYSICS,Physics,
26,LAWRENCE BERKELEY NATIONAL LABORATORY,319574,,37.09506674405107370864770748694138131167,Institutions,ResearchFields,PHYSICS,Physics,
27,UNIVERSITY OF LONDON,315648,,31.53956834532374100719424460431654676259,Institutions,ResearchFields,PHYSICS,Physics,
28,UNIVERSITE PARIS CITE,306398,,30.01253795670486825350181212655500048976,Institutions,ResearchFields,PHYSICS,Physics,
29,PRINCETON UNIVERSITY,301161,,35.5772002362669816893089190785587714117,Institutions,ResearchFields,PHYSICS,Physics,
30,UNIVERSITY OF CHICAGO,300786,,39.7707259024196747322491074970249900833,Institutions,ResearchFields,PHYSICS,Physics,
31,INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM),297493,,14.57584517393434590886820186183243508084,Institutions,ResearchFields,PHYSICS,Physics,
32,UNIVERSITY SYSTEM OF MARYLAND,295957,,36.5559535573122529644268774703557312253,Institutions,ResearchFields,PHYSICS,Physics,
33,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE),293606,,37.96792965214017845596792965214017845597,Institutions,ResearchFields,PHYSICS,Physics,
34,CALIFORNIA INSTITUTE OF TECHNOLOGY,293433,,46.86679444178246286535697172975563009104,Institutions,ResearchFields,PHYSICS,Physics,
35,CNRS - NATIONAL INSTITUTE OF NUCLEAR AND PARTICLE PHYSICS (IN2P3),285958,,32.99769213016385875836602815601200092315,Institutions,ResearchFields,PHYSICS,Physics,
36,UNIVERSITY OF MARYLAND COLLEGE PARK,285318,,38.03732835621917077722970270630582588988,Institutions,ResearchFields,PHYSICS,Physics,
37,STATE UNIVERSITY SYSTEM OF FLORIDA,276799,,30.60920048656419329868406502266946809687,Institutions,ResearchFields,PHYSICS,Physics,
38,UNIVERSITY OF TEXAS SYSTEM,267730,,32.14045618247298919567827130852340936375,Institutions,ResearchFields,PHYSICS,Physics,
39,EUROPEAN ORGANIZATION FOR NUCLEAR RESEARCH (CERN),262518,,28.15508365508365508365508365508365508366,Institutions,ResearchFields,PHYSICS,Physics,
40,SAPIENZA UNIVERSITY ROME,258305,,33.08633277827590623799154604841808633278,Institutions,ResearchFields,PHYSICS,Physics,
41,UNIVERSITY OF ILLINOIS SYSTEM,256049,,34.15808431163287086446104589114194236926,Institutions,ResearchFields,PHYSICS,Physics,
42,ETH ZURICH,254116,,34.40509071215813701597617113457893311671,Institutions,ResearchFields,PHYSICS,Physics,
43,CONSIGLIO NAZIONALE DELLE RICERCHE (CNR),253671,,22.15854297693920335429769392033542976939,Institutions,ResearchFields,PHYSICS,Physics,
44,NANJING UNIVERSITY,239413,,21.18886627135144703071068236127090892999,Institutions,ResearchFields,PHYSICS,Physics,
45,SHANGHAI JIAO TONG UNIVERSITY,234416,,19.40208574739281575898030127462340672074,Institutions,ResearchFields,PHYSICS,Physics,
46,UNIVERSITY OF MICHIGAN SYSTEM,233096,,36.66761050810130564731791725656756331603,Institutions,ResearchFields,PHYSICS,Physics,
47,UNIVERSITY OF MICHIGAN,233056,,36.73065405831363278171788810086682427108,Institutions,ResearchFields,PHYSICS,Physics,
48,UNIVERSITE PSL,229180,,30.75828747819084686619245738827003086834,Institutions,ResearchFields,PHYSICS,Physics,
49,STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM,224359,,29.31264698197021165403710478181343088581,Institutions,ResearchFields,PHYSICS,Physics,
50,LOMONOSOV MOSCOW STATE UNIVERSITY,221389,,19.51939693175806736025392347028742726151,Institutions,ResearchFields,PHYSICS,Physics,
51,ARGONNE NATIONAL LABORATORY,216965,,32.9583776393741455263557648488531064864,Institutions,ResearchFields,PHYSICS,Physics,
52,UNIVERSITY OF WASHINGTON,212927,,50.04159811985898942420681551116333725029,Institutions,ResearchFields,PHYSICS,Physics,
53,UNIVERSITY OF WISCONSIN SYSTEM,212875,,35.38480718085106382978723404255319148936,Institutions,ResearchFields,PHYSICS,Physics,
54,POLISH ACADEMY OF SCIENCES,212027,,23.0213897937024972855591748099891422367,Institutions,ResearchFields,PHYSICS,Physics,
55,COMMUNAUTE UNIVERSITE GRENOBLE ALPES,211851,,24.3422957600827300930713547052740434333,Institutions,ResearchFields,PHYSICS,Physics,
56,UNIVERSITY OF WASHINGTON SEATTLE,211580,,50.46029096112568566658716909134271404722,Institutions,ResearchFields,PHYSICS,Physics,
57,UNIVERSITE GRENOBLE ALPES (UGA),210392,,24.37067068226572454534924128344723734507,Institutions,ResearchFields,PHYSICS,Physics,
58,IMPERIAL COLLEGE LONDON,210315,,28.4825297941495124593716143011917659805,Institutions,ResearchFields,PHYSICS,Physics,
59,COLUMBIA UNIVERSITY,209922,,50.42565457602690367523420610136920490031,Institutions,ResearchFields,PHYSICS,Physics,
60,ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,209774,,31.74065668028446058405205023452867302164,Institutions,ResearchFields,PHYSICS,Physics,
61,RIKEN,209087,,26.5237853609032094380312063935050107827,Institutions,ResearchFields,PHYSICS,Physics,
62,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,206460,,37.79934090076894910289271329183449285976,Institutions,ResearchFields,PHYSICS,Physics,
63,NATIONAL RESEARCH CENTRE - KURCHATOV INSTITUTE,205037,,21.45411740085800983572250706288584283771,Institutions,ResearchFields,PHYSICS,Physics,
64,UNIVERSITY COLLEGE LONDON,204719,,32.22906171284634760705289672544080604534,Institutions,ResearchFields,PHYSICS,Physics,
65,KYOTO UNIVERSITY,199854,,22.99551259924059371763893683120469451156,Institutions,ResearchFields,PHYSICS,Physics,
66,UNIVERSITY OF EDINBURGH,198217,,39.25866508219449395919984155278272925332,Institutions,ResearchFields,PHYSICS,Physics,
67,ZHEJIANG UNIVERSITY,194685,,17.44020424617038430529427573233001881215,Institutions,ResearchFields,PHYSICS,Physics,
68,EGYPTIAN KNOWLEDGE BANK (EKB),193558,,16.52364691821751750042683967901656137955,Institutions,ResearchFields,PHYSICS,Physics,
69,DEUTSCHES ELEKTRONEN-SYNCHROTRON (DESY),192868,,29.41406130852524020131157541558639621778,Institutions,ResearchFields,PHYSICS,Physics,
70,SLAC NATIONAL ACCELERATOR LABORATORY,188909,,39.79544975774173161997050768906677901833,Institutions,ResearchFields,PHYSICS,Physics,
71,UNIVERSITY OF PADUA,188681,,34.22474152004353346635225829856702339924,Institutions,ResearchFields,PHYSICS,Physics,
72,INSTITUT POLYTECHNIQUE DE PARIS,187714,,24.86607497681812160551066366406146509471,Institutions,ResearchFields,PHYSICS,Physics,
73,BROOKHAVEN NATIONAL LABORATORY,186592,,31.50827423167848699763593380614657210402,Institutions,ResearchFields,PHYSICS,Physics,
74,CNRS - INSTITUTE OF PHYSICS (INP),186160,,24.85447263017356475300400534045393858478,Institutions,ResearchFields,PHYSICS,Physics,
75,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,182862,,18.13027959547888161808447352766210588935,Institutions,ResearchFields,PHYSICS,Physics,
76,UNIVERSITY OF CALIFORNIA SANTA BARBARA,181568,,36.62121823315853166599435256151674062122,Institutions,ResearchFields,PHYSICS,Physics,
77,UNIVERSITY OF TEXAS AUSTIN,178430,,31.6141034727143869596031183557760453579,Institutions,ResearchFields,PHYSICS,Physics,
78,UNIVERSITY OF PISA,177710,,37.89933887822563446363830240989550010663,Institutions,ResearchFields,PHYSICS,Physics,
