row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,CHINESE ACADEMY OF SCIENCES,544095,,18.8555239811477682284446908788466869975,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
2,UNIVERSITY OF CALIFORNIA SYSTEM,396026,,21.11237871841347691651562000213242349931,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
3,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),352883,,19.57416241402263146216995784335478145108,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
4,UNITED STATES DEPARTMENT OF AGRICULTURE (USDA),330958,,17.2977578006585480583285423090994616631,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
5,INRAE,293104,,22.99576337674564569276635807312097913071,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
6,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,239629,,18.57013329200247985120892746435213887167,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
7,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),236970,,19.33344211470996165456473851676592967284,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
8,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",204777,,18.52179811866859623733719247467438494935,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
9,STATE UNIVERSITY SYSTEM OF FLORIDA,201808,,15.65981221385892760145883448436408784046,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
10,EGYPTIAN KNOWLEDGE BANK (EKB),177280,,13.75436418651563348591822484288928543719,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
11,NANJING AGRICULTURAL UNIVERSITY,164672,,20.22997542997542997542997542997542997543,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
12,UNIVERSITY OF CALIFORNIA DAVIS,161417,,18.12248793084091164252834848995172336365,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
13,MAX PLANCK SOCIETY,155574,,29.82630368098159509202453987730061349693,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
14,WAGENINGEN UNIVERSITY & RESEARCH,153297,,25.04034629206141783730806925841228356746,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
15,UNIVERSITY OF FLORIDA,151988,,15.73211882827864610288789980333298830349,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
16,CHINA AGRICULTURAL UNIVERSITY,146465,,20.87585518814139110604332953249714937286,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
17,CORNELL UNIVERSITY,141886,,21.0139218009478672985781990521327014218,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
18,HUAZHONG AGRICULTURAL UNIVERSITY,139714,,22.84401569653368214519293655984303466318,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
19,UK RESEARCH & INNOVATION (UKRI),129148,,28.73147942157953281423804226918798665184,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
20,UNIVERSIDADE DE SAO PAULO,125618,,10.539306988841345750482423022065609531,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
21,NORTHWEST A&F UNIVERSITY - CHINA,125016,,17.50188996220075598488030239395212095758,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
22,GHENT UNIVERSITY,120387,,19.57193952202893838400260120305641359129,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
23,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS (CONICET),119260,,11.17608471558429388061100178052666104395,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
24,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT (IRD),115538,,16.20448807854137447405329593267882187938,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
25,COMMONWEALTH SCIENTIFIC & INDUSTRIAL RESEARCH ORGANISATION (CSIRO),115458,,23.63520982599795291709314227226202661208,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
26,BIOTECHNOLOGY AND BIOLOGICAL SCIENCES RESEARCH COUNCIL (BBSRC),115230,,29.95321029373537821679230569274759552898,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
27,SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES,113710,,18.97696929238985313751668891855807743658,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
28,UNIVERSITY SYSTEM OF GEORGIA,110947,,14.93431148202988289137165163548256831337,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
29,UNIVERSITY OF WESTERN AUSTRALIA,109464,,26.83598921304241235596960039225300318706,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
30,ZHEJIANG UNIVERSITY,108301,,22.46442646753785521676000829703381041278,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
31,INDIAN COUNCIL OF AGRICULTURAL RESEARCH (ICAR),107839,,10.93369157457163134948798539997972219406,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
32,UNIVERSITE DE MONTPELLIER,107451,,18.62558502340093603744149765990639625585,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
33,UNIVERSITY OF COPENHAGEN,104548,,19.65187969924812030075187969924812030075,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
34,UNIV BRETAGNE LOIRE,104538,,17.20506912442396313364055299539170506912,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
35,HELMHOLTZ ASSOCIATION,100808,,25.17053682896379525593008739076154806492,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
36,RUSSIAN ACADEMY OF SCIENCES,100018,,8.50204012240734444066643998639918395104,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
37,MICHIGAN STATE UNIVERSITY,97229,,19.94031993437243642329778506972928630025,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
38,UNIVERSITY SYSTEM OF OHIO,97209,,15.13687324820928059794456555590158829025,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
39,UNIVERSITY OF MINNESOTA SYSTEM,95776,,20.06200251361541684122329283619606200251,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
40,UNIVERSITY OF GEORGIA,95383,,15.31273077540536201637502006742655321882,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
41,CGIAR,94059,,22.81324278438030560271646859083191850594,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
42,SMITHSONIAN INSTITUTION,91575,,16.3497589716122121049812533476164970541,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
43,UNIVERSITE PARIS SACLAY,91406,,27.17181926278240190249702734839476813317,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
44,UNIVERSITY OF BRITISH COLUMBIA,91164,,20.95242472994713858883015398758905998621,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
45,UNIVERSITY OF MINNESOTA TWIN CITIES,91134,,20.48415374241402562373567093728927848955,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
46,CZECH ACADEMY OF SCIENCES,90959,,17.66194174757281553398058252427184466019,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
47,CONSIGLIO NAZIONALE DELLE RICERCHE (CNR),90223,,18.90674769488683989941324392288348700754,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
48,UNIVERSITY OF QUEENSLAND,90037,,19.3005359056806002143622722400857449089,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
49,NATIONAL OCEANIC ATMOSPHERIC ADMIN (NOAA) - USA,88510,,19.13316039775183744055339386078685689581,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
50,UNITED STATES DEPARTMENT OF ENERGY (DOE),88435,,31.75403949730700179533213644524236983842,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
51,TEXAS A&M UNIVERSITY SYSTEM,87392,,13.58284115635685421199875660553310537768,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
52,CNRS - INSTITUTE OF ECOLOGY & ENVIRONMENT (INEE),87362,,18.96288257000217060994139353158237464728,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
53,UNITED STATES DEPARTMENT OF THE INTERIOR,85880,,13.1294909035315700963155480813331294909,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
54,UNIVERSITY OF WISCONSIN SYSTEM,85753,,17.4578583061889250814332247557003257329,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
55,UNIVERSITY OF LONDON,85216,,17.0432,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
56,SOUTH CHINA AGRICULTURAL UNIVERSITY,84838,,16.4446598177941461523551075789881760031,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
57,SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN,84655,,24.34713833764739718147828587863100373886,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
58,NORTH CAROLINA STATE UNIVERSITY,84363,,14.95002658160552897395002658160552897395,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
59,INSTITUT AGRO,81240,,20.65598779557589626239511823035850495805,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
60,UNIVERSITY OF ILLINOIS SYSTEM,80483,,16.44187946884576098059244126659856996936,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
61,OREGON STATE UNIVERSITY,78884,,18.29406307977736549165120593692022263451,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
62,UNIVERSIDADE ESTADUAL PAULISTA,78619,,8.86147430117222723174030658250676284941,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
63,LEIBNIZ ASSOCIATION,78248,,18.54218009478672985781990521327014218009,Institutions,ResearchFields,PLANT & ANIMAL SCIENCE,Plant & Animal Science,
