row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,UNIVERSITY OF LONDON,523960,,25.50428348909657320872274143302180685358,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
2,UNIVERSITY OF CALIFORNIA SYSTEM,511679,,22.15636095955659478652463843422533991513,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
3,HARVARD UNIVERSITY,376844,,24.82503293807641633728590250329380764163,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
4,KING'S COLLEGE LONDON,278471,,29.84363948129889615260958096667023898832,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
5,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE),234634,,20.39054488572173459633266707221691144521,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
6,HARVARD UNIVERSITY MEDICAL AFFILIATES,224044,,22.11033257672949768084476463041547419323,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
7,UNIVERSITY SYSTEM OF OHIO,220096,,18.47372838677186503273459795198925633708,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
8,STATE UNIVERSITY SYSTEM OF FLORIDA,219256,,19.35180935569285083848190644307149161518,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
9,UNIVERSITY COLLEGE LONDON,213003,,25.61671677690920024052916416115453998797,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
10,UNIVERSITY OF TORONTO,203700,,21.57610422624721957419764855417858277725,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
