row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,UNIVERSITY OF LONDON,554557,,14.97184125269978401727861771058315334773,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
2,UNIVERSITY OF CALIFORNIA SYSTEM,525877,,14.84982915878349758563239488323497020868,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
3,HARVARD UNIVERSITY,363707,,17.69777626392876259062819327526641039365,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
4,STATE UNIVERSITY SYSTEM OF FLORIDA,249524,,12.93339553205825947234748354325402995905,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
5,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE),225865,,13.94228395061728395061728395061728395062,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
6,UNIVERSITY OF OXFORD,222128,,16.62759188562018115128377872595254135789,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
7,UNIVERSITY SYSTEM OF OHIO,219772,,12.03372939823687236489076274434649290916,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
8,UNIVERSITY OF NORTH CAROLINA,219361,,13.92591416962925342813610970035551041138,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
9,UNIVERSITY COLLEGE LONDON,215551,,16.06431658965568639141451781189447011477,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
10,UNIVERSITY OF TORONTO,203107,,13.44189278623428193249503639973527465255,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
11,US DEPT HLTH HUMAN SERVICES,200836,,18.25947813437585235021365578688971724702,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
12,UNIVERSITY OF TEXAS SYSTEM,198804,,12.29690109482278715902764891445537205418,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
13,JOHNS HOPKINS UNIVERSITY,183786,,15.81771236767363800671314226697650400207,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
14,UNIVERSITY OF MICHIGAN SYSTEM,178113,,15.5924888383086754792961568764772826753,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
15,UNIVERSITY OF MICHIGAN,177280,,15.63315696649029982363315696649029982363,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
16,UNIVERSITY OF WASHINGTON,166778,,16.61300926387090347644187668094431716306,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
17,UNIVERSITY OF WASHINGTON SEATTLE,160921,,16.82746000209139391404371013280351354178,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
18,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,153141,,16.05083324599098626978304160989414107536,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
19,UNIVERSITY OF CAMBRIDGE,150438,,16.6949284208189990012207302186216846077,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
20,COLUMBIA UNIVERSITY,148604,,15.40576404727348123574538668878291519801,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
21,HARVARD UNIVERSITY MEDICAL AFFILIATES,145309,,17.07910202162670427832628114715561824165,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
22,UNIVERSITY SYSTEM OF GEORGIA,144993,,13.01552962298025134649910233393177737882,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
23,STANFORD UNIVERSITY,144058,,18.42645177794832437963673573804041954464,Institutions,ResearchFields,"SOCIAL SCIENCES, GENERAL","Social Sciences, General",
