row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),725021,,33.32051105289765154648651132864561790523,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
2,MAX PLANCK SOCIETY,694557,,39.51060924967290517094260196825758006713,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
3,UNIVERSITY OF CALIFORNIA SYSTEM,650120,,39.65113442303000731885825811173456940717,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
4,NATIONAL AERONAUTICS & SPACE ADMINISTRATION (NASA),534675,,32.73386800538753520264479000857107873148,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
5,ISTITUTO NAZIONALE ASTROFISICA (INAF),513370,,32.97597636176772867420349434737923946557,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
6,CALIFORNIA INSTITUTE OF TECHNOLOGY,450429,,41.13506849315068493150684931506849315068,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
7,SMITHSONIAN INSTITUTION,402745,,41.42188624910007199424046076313894888409,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
8,HARVARD UNIVERSITY,388343,,45.60157350868952559887271019257867543448,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
9,SORBONNE UNIVERSITE,372255,,37.28515625,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
10,CNRS - NATIONAL INSTITUTE FOR EARTH SCIENCES & ASTRONOMY (INSU),329279,,43.47491418008978082915236334829680485873,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
11,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),319079,,36.24662047029421788026809042371918664092,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
12,UNIVERSITY OF CALIFORNIA BERKELEY,318152,,47.42167238038455805634222685944253987181,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
13,UNIVERSITE PARIS CITE,315867,,40.16620040691759918616480162767039674466,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
14,SMITHSONIAN ASTROPHYSICAL OBSERVATORY,309133,,54.26241881692118658943303493066526241882,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
15,CHINESE ACADEMY OF SCIENCES,302743,,18.95935621242484969939879759519038076152,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
16,ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY,301190,,40.40107310529845741113346747149564050973,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
17,UNIVERSITY OF CAMBRIDGE,298561,,48.73669604962455109369898792033953640222,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
18,UNIVERSITE PSL,290069,,38.36891534391534391534391534391534391534,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
19,OBSERVATOIRE DE PARIS,282685,,39.26725934157521878038616474510348659536,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
20,NASA GODDARD SPACE FLIGHT CENTER,278296,,32.13208636416118231151137282069045144902,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
21,UNITED STATES DEPARTMENT OF ENERGY (DOE),274025,,48.18445577633198522947072270089678213469,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
22,UNIVERSITE PARIS SACLAY,269290,,41.56351288779132582188609353295261614447,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
23,LEIDEN UNIVERSITY,266306,,45.29783976866814084027895900663378125532,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
24,LEIDEN UNIVERSITY - EXCL LUMC,266302,,45.30486560054440285811500510377679482817,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
25,UNIVERSITY OF LONDON,249360,,44.23629590207557211282597126130920702501,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
26,EUROPEAN SOUTHERN OBSERVATORY,231285,,37.70541245516791653081186827518747962178,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
27,UNIVERSITY OF ARIZONA,230302,,38.49272939996657195386929633962894868795,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
28,SPACE TELESCOPE SCIENCE INSTITUTE,229322,,39.51783560227468550749612269515767706359,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
29,NASA JET PROPULSION LABORATORY (JPL),228407,,40.67076210826210826210826210826210826211,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
30,UNIVERSITY OF TOKYO,227530,,34.11244377811094452773613193403298350825,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
31,UNIVERSITY COLLEGE LONDON,223686,,44.13693764798737174427782162588792423047,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
32,PRINCETON UNIVERSITY,223212,,48.06459948320413436692506459948320413437,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
33,CEA,214446,,48.81538811745959480992488049169132711131,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
34,JOHNS HOPKINS UNIVERSITY,213949,,35.6998164525279492741531787084932421158,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
35,INSTITUTO DE ASTROFISICA DE CANARIAS,211879,,37.42783960431019254548666313372195725137,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
36,UNIVERSITY SYSTEM OF MARYLAND,192272,,38.48518815052041633306645316253002401922,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
37,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),192079,,40.81576710582235444113897152571185720357,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
38,ISTITUTO NAZIONALE DI FISICA NUCLEARE (INFN),191607,,37.32119205298013245033112582781456953642,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
39,UNIVERSIDAD DE LA LAGUNA,190778,,39.80346338410181514708950552889630711454,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
40,UNIVERSITY SYSTEM OF OHIO,189436,,44.96463327794920484215523380014241633041,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
41,UNIVERSITY OF GENEVA,188162,,48.25904077968709925621954347268530392408,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
42,UNIVERSITY OF PADUA,180159,,47.91462765957446808510638297872340425532,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
43,RUPRECHT KARLS UNIVERSITY HEIDELBERG,178396,,47.35757897531191929917706397663923546589,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
44,UNIVERSITY OF OXFORD,174662,,41.53674197384066587395957193816884661118,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
45,UNIVERSITY OF MICHIGAN SYSTEM,173375,,37.6984126984126984126984126984126984127,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
46,UNIVERSITY OF MICHIGAN,173306,,37.77375762859633827375762859633827375763,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
47,UNIVERSITY OF TEXAS SYSTEM,173274,,36.09875,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
48,UNIVERSITY OF CALIFORNIA SANTA CRUZ,166879,,46.27814753189129229062673322240709927898,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
49,UNIVERSITY OF TORONTO,166279,,60.48708621316842488177519097853765005457,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
50,UNIVERSITY OF CHICAGO,161558,,53.90657323990657323990657323990657323991,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
51,UNIVERSITY OF EDINBURGH,160202,,47.42510361160449970396684428656009473061,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
52,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE),159597,,43.18100649350649350649350649350649350649,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
53,UNIVERSITY OF MARYLAND COLLEGE PARK,157540,,39.76274608783442705704189803129732458354,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
54,NATIONAL INSTITUTES OF NATURAL SCIENCES (NINS) - JAPAN,155514,,28.62923416789396170839469808541973490427,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
55,AIX-MARSEILLE UNIVERSITE,155416,,43.95248868778280542986425339366515837104,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
56,UNIVERSITY OF COPENHAGEN,153344,,47.08136321768498618360454405894995394535,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
57,NATIONAL ASTRONOMICAL OBSERVATORY OF JAPAN (NAOJ),153256,,28.88897266729500471253534401508011310085,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
58,STANFORD UNIVERSITY,152969,,50.08808120497707924034053700065487884741,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
59,EUROPEAN SPACE AGENCY,152437,,46.64534883720930232558139534883720930233,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
60,UNIVERSITE DE TOULOUSE,150920,,44.77009789380005932957579353307623850489,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
61,COMMUNAUTE UNIVERSITE GRENOBLE ALPES,147033,,45.66242236024844720496894409937888198758,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
62,UNIVERSITE GRENOBLE ALPES (UGA),147029,,45.67536502019260639950295122708915812364,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
63,NIELS BOHR INSTITUTE,145373,,47.96205872649290663147476080501484658529,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
64,UNIVERSITE TOULOUSE III - PAUL SABATIER,144941,,46.39596670934699103713188220230473751601,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
65,AUSTRALIAN NATIONAL UNIVERSITY,139156,,42.50335980452046426389737324373854612095,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
66,CARNEGIE INSTITUTION FOR SCIENCE,138976,,46.07957559681697612732095490716180371353,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
67,UNIVERSITY OF COLORADO SYSTEM,138840,,31.75663311985361390667886550777676120769,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
68,RUSSIAN ACADEMY OF SCIENCES,138339,,17.60486128785950623568337999490964622041,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
69,UNIVERSITY OF COLORADO BOULDER,137475,,31.88935281837160751565762004175365344468,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
70,LAWRENCE BERKELEY NATIONAL LABORATORY,133727,,71.55002675227394328517924023542001070091,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
71,UNIVERSITY OF TEXAS AUSTIN,131138,,38.6951903216287990557686633225140159339,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
72,STOCKHOLM UNIVERSITY,129709,,43.76147098515519568151147098515519568151,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
73,PENNSYLVANIA STATE UNIVERSITY,129366,,43.58692722371967654986522911051212938005,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
74,INSTITUT D'ESTUDIS ESPACIALS DE CATALUNYA (IEEC),129066,,42.66644628099173553719008264462809917355,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
75,COLUMBIA UNIVERSITY,128764,,51.25955414012738853503184713375796178344,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
76,SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN,128393,,41.9174012406137773424746980084884100555,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
77,"NATIONAL ASTRONOMICAL OBSERVATORY, CAS",127941,,21.94904786412763767370046320123520329388,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
78,NATIONAL RADIO ASTRONOMY OBSERVATORY (NRAO),127535,,40.37195314973092750870528648306426084204,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
79,CNRS - NATIONAL INSTITUTE OF NUCLEAR AND PARTICLE PHYSICS (IN2P3),126864,,59.08896134140661387983232417326502095948,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
80,UNIVERSITY OF MANCHESTER,126295,,44.14365606431317721076546662006291506466,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
81,UNIVERSITY OF AMSTERDAM,126061,,44.62336283185840707964601769911504424779,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
82,PENNSYLVANIA STATE UNIVERSITY - UNIVERSITY PARK,125230,,44.12614517265680056377730796335447498238,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
83,OHIO STATE UNIVERSITY,124765,,44.2586023412557644554806669031571479248,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
84,UNIVERSITY OF GRONINGEN,123482,,47.65804708606715553840216132767271323813,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
85,UNIVERSITY OF WASHINGTON,122403,,56.95812005583992554676593764541647277804,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
86,JODRELL BANK CENTRE FOR ASTROPHYSICS,121793,,46.48587786259541984732824427480916030534,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
87,RADBOUD UNIVERSITY NIJMEGEN,121762,,74.70061349693251533742331288343558282209,Institutions,ResearchFields,SPACE SCIENCE,Space Science,
