row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,ACS APPLIED MATERIALS & INTERFACES,2011501,,36.85552786837187145003481256183810326505,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
2,ADVANCED MATERIALS,1874356,,96.67110217133426169477538810665841456496,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
3,JOURNAL OF MATERIALS CHEMISTRY A,1274455,,48.83156442775585271466339706502164833902,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
4,ADVANCED FUNCTIONAL MATERIALS,1196847,,51.23708206686930091185410334346504559271,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
5,ACS NANO,1065465,,59.37061183550651955867602808425275827482,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
6,JOURNAL OF ALLOYS AND COMPOUNDS,982634,,20.63533463533463533463533463533463533464,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
7,CONSTRUCTION AND BUILDING MATERIALS,913116,,27.36174038115785688601222581805106076951,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
8,APPLIED SURFACE SCIENCE,828338,,25.82020510582587824569059567968579533057,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
9,ADVANCED ENERGY MATERIALS,734928,,94.6950135291843834557402396598376497874,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
10,NANO LETTERS,663233,,45.61751152073732718894009216589861751152,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
11,NANO ENERGY,640605,,66.11673031272577149344617607596243162349,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
12,CERAMICS INTERNATIONAL,619867,,17.08328510403748105277662946120986633595,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
13,SMALL,608505,,32.05863758495337442705863758495337442706,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
14,JOURNAL OF POWER SOURCES,555926,,35.97062439340019411193788417987706243934,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
15,MATERIALS,521781,,10.59045241429702246848931376727759848992,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
16,CHEMISTRY OF MATERIALS,469868,,44.72377688939653531315438796877974490767,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
17,NATURE COMMUNICATIONS,468355,,104.102022671704823294065347855078906424,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
18,JOURNAL OF MATERIALS CHEMISTRY C,449309,,26.32155828939660222612770943175161101347,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
19,MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,389239,,25.94580722570323956805759232102386348487,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
20,MATERIALS & DESIGN,373476,,33.79567459958374807709709528549452538232,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
21,ACTA MATERIALIA,368187,,43.9154341603053435114503816793893129771,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
22,NATURE MATERIALS,364078,,188.251292657704239917269906928645294726,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
23,COMPOSITES PART B-ENGINEERING,351670,,42.99144254278728606356968215158924205379,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
24,BIOMATERIALS,342289,,57.12433244325767690253671562082777036048,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
25,COMPOSITE STRUCTURES,308334,,26.06593963986812072026375855947248288106,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
26,NANOMATERIALS,299364,,14.94055996406647701751759245396017367869,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
27,NATURE NANOTECHNOLOGY,291699,,170.384929906542056074766355140186915888,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
28,ACS ENERGY LETTERS,283709,,68.01941980340445936226324622392711579957,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
29,SCIENTIFIC REPORTS,262166,,30.15481941568898090637221072003680699333,Journals,ResearchFields,MATERIALS SCIENCE,Materials Science,
