row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
1,CHINA MAINLAND,16678343,,21.47745994789781997576463104161864449341,Territories,ResearchFields,CHEMISTRY,Chemistry,
2,USA,7909536,,27.91821002361362601522708260533477344685,Territories,ResearchFields,CHEMISTRY,Chemistry,
3,GERMANY (FED REP GER),3021854,,23.10215283936271062047032200850126907434,Territories,ResearchFields,CHEMISTRY,Chemistry,
4,INDIA,2759704,,16.52062306191109035834440812710271422243,Territories,ResearchFields,CHEMISTRY,Chemistry,
5,JAPAN,1979990,,17.33654965895857594410247878888704042589,Territories,ResearchFields,CHEMISTRY,Chemistry,
6,ENGLAND,1969709,,26.50308127018299246501614639397201291712,Territories,ResearchFields,CHEMISTRY,Chemistry,
7,SOUTH KOREA,1779510,,21.44453013906630353570653876744354197296,Territories,ResearchFields,CHEMISTRY,Chemistry,
8,FRANCE,1663120,,20.69561105511379898209330396585408344844,Territories,ResearchFields,CHEMISTRY,Chemistry,
9,SPAIN,1551077,,21.5753988677303139475038600102933607823,Territories,ResearchFields,CHEMISTRY,Chemistry,
10,ITALY,1470809,,20.35834509869058494587935664258228829278,Territories,ResearchFields,CHEMISTRY,Chemistry,
11,AUSTRALIA,1266177,,29.88663078884010763347967709956096870132,Territories,ResearchFields,CHEMISTRY,Chemistry,
12,IRAN,1225027,,19.33194988006564827673273576568615073854,Territories,ResearchFields,CHEMISTRY,Chemistry,
13,CANADA,1158014,,23.81225966975797330920606197692829676544,Territories,ResearchFields,CHEMISTRY,Chemistry,
14,SAUDI ARABIA,1055062,,21.63386577539010436957903586294572371794,Territories,ResearchFields,CHEMISTRY,Chemistry,
15,RUSSIA,833368,,9.42670663424014478819071319495503647984,Territories,ResearchFields,CHEMISTRY,Chemistry,
16,SWITZERLAND,751863,,27.70517355737342471810745080698651337608,Territories,ResearchFields,CHEMISTRY,Chemistry,
17,POLAND,743441,,14.29886715519396841882561113996114861616,Territories,ResearchFields,CHEMISTRY,Chemistry,
18,SINGAPORE,730663,,42.75883661048689138576779026217228464419,Territories,ResearchFields,CHEMISTRY,Chemistry,
19,NETHERLANDS,676325,,27.54887983706720977596741344195519348269,Territories,ResearchFields,CHEMISTRY,Chemistry,
20,BRAZIL,673012,,15.04004648252435863055332081880754447126,Territories,ResearchFields,CHEMISTRY,Chemistry,
21,TAIWAN,610210,,18.59489273525109702584105314480741101902,Territories,ResearchFields,CHEMISTRY,Chemistry,
22,EGYPT,539508,,17.45020538862114694181194811915774492997,Territories,ResearchFields,CHEMISTRY,Chemistry,
23,HONG KONG,519580,,33.35772984078068823831535695942475603493,Territories,ResearchFields,CHEMISTRY,Chemistry,
24,SWEDEN,504694,,23.78836726998491704374057315233785822021,Territories,ResearchFields,CHEMISTRY,Chemistry,
25,BELGIUM,497480,,24.16711197473888753947048821957736215691,Territories,ResearchFields,CHEMISTRY,Chemistry,
26,TURKEY,427566,,19.01814785161462503336002135041366426475,Territories,ResearchFields,CHEMISTRY,Chemistry,
27,MALAYSIA,427169,,21.76657324840764331210191082802547770701,Territories,ResearchFields,CHEMISTRY,Chemistry,
28,PAKISTAN,410882,,17.9982478426562705330938718296903061895,Territories,ResearchFields,CHEMISTRY,Chemistry,
29,PORTUGAL,371049,,20.1438110749185667752442996742671009772,Territories,ResearchFields,CHEMISTRY,Chemistry,
30,CZECH REPUBLIC,353587,,16.55524861878453038674033149171270718232,Territories,ResearchFields,CHEMISTRY,Chemistry,
31,DENMARK,313226,,24.07948954489544895448954489544895448954,Territories,ResearchFields,CHEMISTRY,Chemistry,
32,AUSTRIA,296945,,19.31098393704883917539181895038043831697,Territories,ResearchFields,CHEMISTRY,Chemistry,
33,SCOTLAND,265785,,23.60854503464203233256351039260969976905,Territories,ResearchFields,CHEMISTRY,Chemistry,
34,ISRAEL,264490,,23.48517137275794707867163914047238501154,Territories,ResearchFields,CHEMISTRY,Chemistry,
35,SOUTH AFRICA,260374,,19.27554042049156055670713651169677228309,Territories,ResearchFields,CHEMISTRY,Chemistry,
36,MEXICO,248996,,13.07340123910532395253596555707235114985,Territories,ResearchFields,CHEMISTRY,Chemistry,
37,FINLAND,231872,,21.90985542851743361995653406406500992157,Territories,ResearchFields,CHEMISTRY,Chemistry,
38,THAILAND,209033,,15.62279521674140508221225710014947683109,Territories,ResearchFields,CHEMISTRY,Chemistry,
39,GREECE,208942,,19.54555659494855004677268475210477081384,Territories,ResearchFields,CHEMISTRY,Chemistry,
40,ROMANIA,188925,,11.98306482303691488012178104782443232272,Territories,ResearchFields,CHEMISTRY,Chemistry,
41,IRELAND,179184,,24.21078232671260640453992703688690717471,Territories,ResearchFields,CHEMISTRY,Chemistry,
42,VIETNAM,163958,,18.04909731395860854249229414354909731396,Territories,ResearchFields,CHEMISTRY,Chemistry,
43,NORWAY,148947,,19.6422260319134907028880390346828432019,Territories,ResearchFields,CHEMISTRY,Chemistry,
44,HUNGARY,147048,,14.21577726218097447795823665893271461717,Territories,ResearchFields,CHEMISTRY,Chemistry,
45,ARGENTINA,127289,,13.94642270187356195902267996055659033636,Territories,ResearchFields,CHEMISTRY,Chemistry,
46,UNITED ARAB EMIRATES,126858,,22.02778260114603229727383226254558083001,Territories,ResearchFields,CHEMISTRY,Chemistry,
47,NEW ZEALAND,109759,,21.99579158316633266533066132264529058116,Territories,ResearchFields,CHEMISTRY,Chemistry,
48,CHILE,109534,,14.15167958656330749354005167958656330749,Territories,ResearchFields,CHEMISTRY,Chemistry,
49,WALES,102593,,26.43468178304560680237052306106673537748,Territories,ResearchFields,CHEMISTRY,Chemistry,
50,MOROCCO,94565,,16.79364233706268868762209199076540578938,Territories,ResearchFields,CHEMISTRY,Chemistry,
51,TUNISIA,94076,,14.45321862037179290213550468581963435244,Territories,ResearchFields,CHEMISTRY,Chemistry,
52,UKRAINE,92053,,10.51073304407398949531856588262160310573,Territories,ResearchFields,CHEMISTRY,Chemistry,
53,IRAQ,90982,,13.83967143291755400060845756008518405841,Territories,ResearchFields,CHEMISTRY,Chemistry,
54,QATAR,90898,,29.17137355584082156611039794608472400513,Territories,ResearchFields,CHEMISTRY,Chemistry,
55,SLOVENIA,90695,,16.09208658623136976579134137686302342087,Territories,ResearchFields,CHEMISTRY,Chemistry,
56,SLOVAKIA,84260,,13.66969500324464633354964308890330953926,Territories,ResearchFields,CHEMISTRY,Chemistry,
57,ALGERIA,83702,,12.63045118454806096272823298626829636336,Territories,ResearchFields,CHEMISTRY,Chemistry,
58,COLOMBIA,81536,,14.21974189047785141262643878618765259854,Territories,ResearchFields,CHEMISTRY,Chemistry,
59,SERBIA,79861,,11.91421751454572579442040877219155601969,Territories,ResearchFields,CHEMISTRY,Chemistry,
60,BANGLADESH,74509,,18.55765877957658779576587795765877957659,Territories,ResearchFields,CHEMISTRY,Chemistry,
61,INDONESIA,72494,,12.76302816901408450704225352112676056338,Territories,ResearchFields,CHEMISTRY,Chemistry,
62,NIGERIA,67863,,17.26354617145764436530145001271940981938,Territories,ResearchFields,CHEMISTRY,Chemistry,
63,NORTHERN IRELAND,63741,,27.07774001699235344095157179269328802039,Territories,ResearchFields,CHEMISTRY,Chemistry,
64,CROATIA,59168,,13.44727272727272727272727272727272727273,Territories,ResearchFields,CHEMISTRY,Chemistry,
65,BULGARIA,53091,,12.17683486238532110091743119266055045872,Territories,ResearchFields,CHEMISTRY,Chemistry,
66,LITHUANIA,42330,,14.04445919044459190444591904445919044459,Territories,ResearchFields,CHEMISTRY,Chemistry,
67,TURKIYE,40437,,4.09654543612602573194205247695268969709,Territories,ResearchFields,CHEMISTRY,Chemistry,
68,MACAU,40300,,22.89772727272727272727272727272727272727,Territories,ResearchFields,CHEMISTRY,Chemistry,
69,JORDAN,39145,,12.88512179065174456879526003949967083608,Territories,ResearchFields,CHEMISTRY,Chemistry,
70,ESTONIA,32664,,17.87848932676518883415435139573070607553,Territories,ResearchFields,CHEMISTRY,Chemistry,
71,LEBANON,31768,,19.56157635467980295566502463054187192118,Territories,ResearchFields,CHEMISTRY,Chemistry,
72,OMAN,31418,,17.71025930101465614430665163472378804961,Territories,ResearchFields,CHEMISTRY,Chemistry,
73,LUXEMBOURG,28614,,28.10805500982318271119842829076620825147,Territories,ResearchFields,CHEMISTRY,Chemistry,
74,ETHIOPIA,28041,,13.48125,Territories,ResearchFields,CHEMISTRY,Chemistry,
75,BELARUS,25457,,9.35575156192576258728408673281881661154,Territories,ResearchFields,CHEMISTRY,Chemistry,
76,CYPRUS,25038,,19.20092024539877300613496932515337423313,Territories,ResearchFields,CHEMISTRY,Chemistry,
77,KAZAKHSTAN,24586,,9.4127105666156202143950995405819295559,Territories,ResearchFields,CHEMISTRY,Chemistry,
78,KUWAIT,23408,,14.57534246575342465753424657534246575342,Territories,ResearchFields,CHEMISTRY,Chemistry,
79,LATVIA,21222,,14.3877966101694915254237288135593220339,Territories,ResearchFields,CHEMISTRY,Chemistry,
80,ECUADOR,20663,,13.04482323232323232323232323232323232323,Territories,ResearchFields,CHEMISTRY,Chemistry,
81,SRI LANKA,16453,,18.78196347031963470319634703196347031963,Territories,ResearchFields,CHEMISTRY,Chemistry,
82,PHILIPPINES,15306,,13.77677767776777677767776777677767776778,Territories,ResearchFields,CHEMISTRY,Chemistry,
83,BRUNEI,14982,,24.16451612903225806451612903225806451613,Territories,ResearchFields,CHEMISTRY,Chemistry,
84,PALESTINE,14927,,19.56356487549148099606815203145478374836,Territories,ResearchFields,CHEMISTRY,Chemistry,
85,YEMEN,14418,,16.10949720670391061452513966480446927374,Territories,ResearchFields,CHEMISTRY,Chemistry,
86,ICELAND,13940,,25.0269299820466786355475763016157989228,Territories,ResearchFields,CHEMISTRY,Chemistry,
87,URUGUAY,13475,,15.63225058004640371229698375870069605568,Territories,ResearchFields,CHEMISTRY,Chemistry,
88,CUBA,13181,,14.20366379310344827586206896551724137931,Territories,ResearchFields,CHEMISTRY,Chemistry,
89,VENEZUELA,12915,,16.14375,Territories,ResearchFields,CHEMISTRY,Chemistry,
90,CAMEROON,11230,,11.57731958762886597938144329896907216495,Territories,ResearchFields,CHEMISTRY,Chemistry,
91,SUDAN,11035,,14.09323116219667943805874840357598978289,Territories,ResearchFields,CHEMISTRY,Chemistry,
92,AZERBAIJAN,11006,,7.24078947368421052631578947368421052632,Territories,ResearchFields,CHEMISTRY,Chemistry,
93,GHANA,10275,,13.77345844504021447721179624664879356568,Territories,ResearchFields,CHEMISTRY,Chemistry,
94,UZBEKISTAN,9529,,6.950401167031363967906637490882567469,Territories,ResearchFields,CHEMISTRY,Chemistry,
95,ARMENIA,9509,,8.97922568460812086874409820585457979226,Territories,ResearchFields,CHEMISTRY,Chemistry,
96,PERU,9433,,10.298034934497816593886462882096069869,Territories,ResearchFields,CHEMISTRY,Chemistry,
97,NEPAL,9311,,16.65652951699463327370304114490161001789,Territories,ResearchFields,CHEMISTRY,Chemistry,
98,REPUBLIC OF GEORGIA,9291,,19.43723849372384937238493723849372384937,Territories,ResearchFields,CHEMISTRY,Chemistry,
99,KENYA,6460,,11.51515151515151515151515151515151515152,Territories,ResearchFields,CHEMISTRY,Chemistry,
100,LIBYA,6323,,13.09109730848861283643892339544513457557,Territories,ResearchFields,CHEMISTRY,Chemistry,
101,COSTA RICA,5809,,17.71036585365853658536585365853658536585,Territories,ResearchFields,CHEMISTRY,Chemistry,
